Valor Binario,Quantidade
38520,1
23051,1
12028,1
28738,1
763,1
16004,1
20113,1
50321,1
33676,1
16195,1
46966,1
60149,1
55225,1
2631,1
41996,1
22544,1
62525,1
39879,1
26864,1
14405,1
29108,1
20369,1
12260,1
28351,1
29641,1
6469,1
38538,1
8589,1
38765,1
61221,1
676,1
33818,1
56816,1
2962,1
55867,1
17612,1
22308,1
58297,1
24806,1
19288,1
42948,1
30468,1
40327,1
65026,1
8980,2
37528,1
4150,1
19023,1
14152,1
20953,1
38339,1
27742,1
4801,1
36397,1
16173,1
39427,1
38053,1
10110,1
62165,1
44005,1
37771,1
42256,1
52518,1
22700,1
41591,1
34793,1
34940,1
62967,1
57753,1
49060,1
51155,1
15851,1
62451,1
62834,1
29948,1
40285,1
34630,1
33219,1
28416,1
8862,1
46003,1
40402,1
6815,1
46059,1
10553,1
55176,1
16581,1
39135,1
33783,1
64987,1
27590,1
37779,1
48113,1
40684,1
3980,1
43952,1
35805,1
30258,1
27407,1
47367,1
64504,1
11901,1
28925,1
30326,1
58169,1
55897,1
49854,1
15158,1
65226,1
41908,1
63177,1
45181,1
48857,1
20302,1
4896,1
63129,1
64053,1
39521,1
32854,1
34453,1
3247,1
31029,1
52394,1
51221,1
44997,1
30040,1
41340,1
31148,1
18190,1
44782,1
56022,1
4863,1
41202,1
48786,1
38127,1
28195,1
19102,1
22488,1
24229,1
27173,1
47969,1
1591,1
6737,1
61245,1
25943,1
18125,1
12401,1
37279,1
26715,1
36239,1
22582,1
39223,1
35607,1
36143,1
58692,1
50260,1
20867,1
63632,1
64793,1
54831,1
35467,1
31379,1
58056,1
62621,1
17190,1
10710,1
24309,1
56796,1
58532,1
13445,1
59765,1
38159,1
46163,1
9310,1
54860,1
1587,1
24178,1
14823,1
45984,1
20016,1
26901,1
43584,1
50722,1
30367,1
26708,1
52274,1
28444,1
14899,1
31172,1
50026,1
36592,1
9302,1
36629,1
19554,1
47860,1
11499,1
3021,1
43442,1
41093,1
38714,1
35504,1
1261,1
8629,1
5960,1
21498,1
18126,1
54572,1
42613,1
48457,1
52023,1
46261,2
3928,1
12084,1
3367,1
41318,1
31269,1
56494,1
57908,1
50090,1
61068,1
58753,1
22765,1
10172,1
56490,1
51394,1
42344,1
37904,1
62747,1
62436,1
18033,1
37218,1
53036,1
10331,1
8505,1
59709,1
507,1
57348,1
46605,1
60514,1
58246,1
49721,1
29249,1
35229,1
19152,1
7683,1
11953,1
39202,1
19036,1
44822,1
54697,1
12505,1
36139,1
13895,1
7498,2
11362,1
19767,1
45479,1
50829,1
23205,1
40150,1
48040,1
57626,1
62031,1
24369,1
43230,1
51771,1
40373,1
21815,1
57439,1
26397,1
2524,1
40544,2
64079,1
26254,1
56609,1
14784,1
5734,1
54152,1
52776,1
21299,1
20924,1
44890,1
50210,1
2428,1
7583,1
35462,1
22050,1
5575,1
56571,1
1854,2
25402,1
30988,1
5504,1
2767,1
60474,1
32588,1
40713,1
37620,1
46200,1
64524,1
16032,1
20976,1
6471,1
32986,1
30123,1
58748,1
26259,1
2982,1
50432,1
11358,1
21699,1
55830,1
28570,1
45385,1
19685,1
34173,1
26073,1
24372,1
17470,1
29818,1
56818,1
64515,1
6239,1
43803,1
6816,1
61377,1
29124,1
19441,1
4359,1
21676,1
37501,1
19490,1
63810,1
13969,1
50118,1
6523,1
25023,1
61529,1
31778,1
38521,1
61276,1
7288,1
27740,1
37623,1
33167,1
14196,1
46466,1
30406,1
47049,1
58945,1
27481,1
23492,1
39159,1
13505,1
31617,1
64393,1
65442,1
3990,1
59382,1
39108,2
58604,2
53802,1
62412,1
38076,1
51903,2
42306,1
17142,1
63553,1
3910,1
30186,1
27206,1
28434,1
12049,1
49555,1
63384,1
63797,1
9105,1
44938,1
61585,1
36185,1
28116,1
22669,1
28649,2
6213,1
44702,1
44404,1
9179,1
61814,2
13414,1
6176,1
4237,2
48390,1
53311,1
44344,1
4199,1
13738,1
58634,1
34186,1
65217,1
27129,1
17278,1
743,1
32372,1
37694,2
51119,1
64149,1
29061,2
19650,1
65171,1
6835,1
51485,1
44800,1
49315,1
49305,1
6421,1
26067,1
62027,1
61788,3
31906,1
108,1
61496,1
24200,1
32169,2
30545,1
11594,2
11421,1
64791,1
16155,2
29457,1
7968,1
9414,1
36782,1
40878,2
15382,1
55276,1
29507,1
13169,2
30148,1
48615,1
65445,1
18176,1
28989,1
51942,1
11704,1
16621,1
16610,1
7993,1
17132,1
15176,2
63449,1
33129,1
48468,1
5535,1
17370,1
15719,1
6538,1
23083,2
42431,1
63590,1
14370,1
28609,1
24803,1
39663,1
65223,1
64040,1
33948,1
57477,1
17518,1
53716,1
45859,1
37565,1
47024,1
1060,1
29239,1
7255,1
3075,1
8743,1
31188,1
9558,1
51114,1
7330,1
44433,1
59657,1
23605,1
43234,1
6789,1
54461,1
64035,2
62280,1
20521,1
58042,1
51375,1
1675,1
35270,2
45285,1
46792,1
64792,2
7800,1
42934,1
63958,1
53985,1
34688,1
28764,1
58507,1
41400,1
55628,1
10356,1
64976,1
58271,2
12615,1
2180,2
14089,1
56883,1
54389,1
32393,1
38676,1
63800,1
1095,1
50095,1
58120,1
60810,1
22247,1
4362,1
54900,1
47457,1
34511,1
3574,1
50795,1
60764,1
5791,1
37594,1
63246,1
44093,1
46597,1
42607,1
45705,1
29347,1
48041,1
62709,1
42076,2
15052,2
19323,1
9934,1
56006,1
2506,2
21509,1
317,1
16880,1
50848,1
6540,1
65493,1
47617,1
33726,1
35251,1
65535,1
8325,1
23108,2
1891,1
38189,1
60687,1
12180,1
31398,1
21131,1
8408,1
14735,2
26279,1
34678,1
30851,1
12138,1
42186,1
57383,1
30270,1
59152,1
6476,1
3720,1
24989,1
32814,1
59796,1
16849,1
28382,1
32418,1
19065,1
6329,1
59544,1
28973,1
4010,1
7883,1
54271,2
57674,2
22797,1
20202,1
2838,1
25170,1
43193,1
31923,1
52582,1
6321,1
289,1
41,1
48739,1
45932,1
16885,1
48591,1
12424,1
29029,1
61504,1
5935,1
2372,1
31850,2
35631,1
44387,1
7390,2
54367,1
20121,1
29058,1
13653,1
726,1
27093,1
22960,1
43396,1
47418,1
13539,1
16556,1
15223,1
58519,1
43459,2
5151,1
23421,1
34799,1
23526,1
23405,1
47901,1
25110,1
57512,1
49717,1
15352,1
59328,1
3092,1
33,1
52834,1
54274,1
64603,1
55266,1
4494,1
24885,1
13225,1
4798,1
61073,1
26006,1
42310,1
29130,1
15059,2
5346,1
27540,1
8514,1
27638,2
52535,1
46939,1
681,1
29295,1
32644,1
58007,1
3844,1
10153,1
36345,1
9408,2
63617,1
19005,1
24939,1
52647,1
16457,1
315,2
63776,1
8879,1
14362,1
31043,2
41932,1
38391,1
61287,2
50867,1
60294,1
7526,1
8960,1
8445,1
1712,1
26317,1
41494,1
53529,1
40549,1
60324,1
50355,1
11488,1
58515,1
19704,1
25247,1
37871,1
26117,1
54622,1
7859,1
11739,1
58910,2
33535,1
54888,1
60654,1
27484,1
47136,1
41537,1
52483,1
54538,1
19051,1
56928,1
10077,1
35910,1
32772,1
62216,1
7304,1
53329,1
39503,1
50037,1
58985,1
33201,2
40852,1
21849,2
53489,1
44234,1
54714,1
25822,1
55736,1
8215,1
26754,1
38019,1
50778,1
44534,1
36646,1
51637,1
36138,1
47146,1
49876,1
13064,1
52573,1
59103,1
24426,1
63741,1
42743,1
8438,1
19649,1
27954,2
16793,1
56614,1
19730,1
44438,1
50184,1
39555,1
22553,1
63376,1
51642,1
34122,1
11204,1
37465,1
1654,1
5018,1
9912,1
44275,2
35711,1
35293,1
54829,1
45472,1
25366,1
12685,1
54902,1
31123,1
6429,1
27069,1
29677,1
44820,1
29090,1
37979,1
50843,1
44600,1
35451,2
31827,1
18437,1
20716,1
59347,1
62784,1
54704,1
34430,1
42632,1
53202,1
42152,2
31330,2
1765,1
61528,1
102,1
29418,1
46223,1
42091,2
59355,2
16282,1
45799,1
37240,1
51734,1
24593,1
19768,2
36505,1
50870,1
18961,1
19738,1
