Valor Binario,Quantidade
1541,1
10496,1
36,1
513,1
37613,1
57977,1
8835,1
36945,1
33476,1
32873,1
37578,1
33005,1
46307,1
41621,1
53576,1
2986,1
2990,1
21263,1
8164,1
44609,1
33683,1
9888,1
33330,1
4043,1
44161,1
62530,1
3122,1
36724,1
20598,1
25860,1
31655,1
8611,1
46400,1
13180,1
2969,1
3968,1
58113,1
8513,1
6816,1
64784,1
3558,1
12942,1
3963,1
13049,1
35840,1
27144,2
3686,1
33519,1
36549,1
35650,1
55405,1
41914,1
30068,1
17776,1
51619,1
42518,1
13517,1
4173,1
160,1
25995,1
63936,1
34814,1
29714,1
16596,1
52226,1
12280,1
16487,1
12290,1
8846,1
16452,1
45169,1
15416,1
341,1
50053,1
49247,1
55616,1
16641,1
9134,1
23154,1
19319,1
42117,1
14445,1
257,1
53608,1
16806,1
79,1
35413,1
33947,1
573,1
59809,1
34061,1
9958,1
33293,1
9856,1
41002,1
55244,1
36997,1
64968,1
28947,1
39920,1
12063,1
51723,1
64244,1
692,1
13301,1
991,1
2543,1
53998,1
5846,1
12414,1
63648,1
3095,1
25086,1
20534,1
2005,1
58203,1
52599,1
55676,1
52251,1
37113,1
19871,1
55376,1
6386,1
37116,1
29544,1
37701,1
15243,1
12119,1
18063,1
34141,2
45600,1
20502,1
64560,1
34129,1
33266,1
47768,1
29742,1
1209,1
13360,1
35253,1
20035,1
12330,2
50426,1
62391,1
58498,1
43096,1
39141,1
63632,1
24933,1
22631,1
42417,1
37077,1
30852,1
34451,1
38188,1
13928,1
11527,1
3956,1
4867,1
17324,1
29185,1
64418,1
1705,1
28869,1
9785,1
15647,1
16456,1
49927,1
7289,1
1563,1
22643,1
37888,1
23852,1
19275,1
53269,1
10857,1
2236,1
22878,1
54752,1
52128,1
32592,2
24795,1
46081,1
52267,1
38851,1
48776,1
50631,1
51456,2
22527,1
12436,1
13620,1
11915,1
53499,1
12888,1
2401,1
58538,1
38193,1
23556,1
16352,1
42317,1
62485,1
35727,1
21702,1
54305,1
3002,1
3117,1
31737,1
44971,3
48067,1
60097,1
34573,1
20160,1
26808,1
17792,1
25937,1
13177,1
50601,1
21280,1
31792,1
51408,1
49760,1
38157,1
63909,1
39449,1
41795,1
8910,1
11653,1
360,1
19032,1
28036,1
10725,1
49869,1
37115,1
6162,1
63952,3
34828,1
61459,1
3163,1
42472,1
26079,1
38017,1
30876,1
12904,1
33303,1
5921,1
1865,1
37400,2
40195,1
7099,1
36048,1
20674,1
51296,1
19481,1
57344,1
158,1
6175,1
16089,1
62285,1
5608,1
59270,1
61488,1
2330,1
38861,1
34489,1
39040,1
34838,1
106,1
35347,1
37937,1
54330,1
27120,1
9989,1
48289,1
602,1
59596,1
40996,2
59373,1
58518,1
4954,1
15918,1
24388,1
14402,1
61512,1
27672,1
27108,1
9904,1
24899,1
1144,1
13748,1
26146,1
36871,1
29461,1
2840,2
16840,1
58341,1
40684,1
12518,1
20866,1
48412,1
60424,1
17044,1
16174,1
54785,1
2025,1
34333,1
4762,1
47119,2
26058,1
35523,1
41153,1
22039,1
2061,1
30228,1
28677,1
9942,1
38669,1
45740,1
8283,1
25345,1
48256,1
58966,1
39680,1
41054,1
2388,2
58880,1
61337,1
43147,1
8547,1
58217,1
51779,1
14900,1
59584,1
12432,1
313,2
38098,1
61830,1
41612,1
46897,1
45122,1
618,1
24792,1
24611,1
1789,1
36250,1
60305,1
8510,1
27937,1
42032,1
42046,1
43586,1
60148,1
22285,1
49155,1
26624,1
39768,1
39295,2
40606,1
32316,1
16997,1
18102,1
33412,1
49505,1
49921,1
6013,1
19484,1
24020,2
27662,1
27384,1
12400,1
30061,1
1626,1
11689,1
49213,2
17911,1
47196,1
34271,1
11573,1
23936,1
62689,1
3242,1
24961,1
15161,2
78,1
36672,1
30448,1
362,1
21147,1
2806,1
41877,2
23874,2
12968,1
62547,1
19873,1
39860,1
28028,1
30585,1
25957,1
9728,1
56192,1
53339,1
37712,1
30725,1
25012,1
48176,1
20592,1
1687,1
41088,1
39554,2
59727,1
41901,1
60842,1
45895,1
39455,1
19267,1
49106,1
52512,1
29928,1
22116,1
39183,1
19131,1
13494,1
44442,1
46624,1
62056,1
37242,1
20373,1
57441,1
34635,2
18943,1
10840,1
57323,1
43886,1
11910,1
25242,1
41510,1
60038,1
35696,1
11854,1
30304,1
55127,1
24250,1
53953,1
65044,1
48614,2
62217,1
47741,1
49638,2
33611,1
31248,1
34040,1
27655,1
247,1
12544,1
31140,1
18922,1
62,1
26894,2
36188,1
45818,1
3685,1
15546,1
156,1
65088,1
10274,1
361,3
40090,1
37817,1
34004,1
24653,1
50187,1
51240,1
4567,1
473,1
53655,1
3605,1
423,1
72,1
60195,1
64067,2
21371,1
28224,1
43544,1
53274,1
26240,1
64749,2
374,1
19724,1
9222,1
43006,1
7103,1
19456,1
2334,1
52585,1
65041,1
47237,1
5695,1
13618,1
22757,1
21153,1
14656,2
11942,2
20813,1
63912,1
29443,2
2734,1
52911,1
42160,1
36172,2
33449,1
41171,2
9167,3
19969,2
26343,1
34825,1
11088,1
33133,1
41520,1
52497,1
32742,2
18944,1
15452,1
58082,2
24057,1
22532,2
27232,1
13766,1
9262,1
20688,2
58339,1
1887,2
26989,2
33162,1
48253,1
17570,1
39904,1
27904,2
60069,1
52901,2
59392,1
24472,1
37295,1
5306,1
3870,1
7868,1
32327,1
57648,1
1015,2
27182,1
56479,1
3081,1
52376,1
17620,1
41148,1
56060,1
59429,1
45137,1
39031,1
64721,1
16654,1
13428,3
40777,1
62675,1
24633,1
48944,1
51599,1
57495,2
20810,1
54447,1
17063,1
37377,1
24586,1
54095,1
625,1
14223,1
2473,1
4,1
24087,1
35831,1
32884,1
862,1
57698,2
2950,1
37344,1
3083,1
52170,1
28491,1
45145,2
4627,1
64103,1
95,1
221,1
16258,1
43104,1
9248,1
39685,1
35192,1
24326,1
17178,1
61816,1
11532,1
