Valor Binario,Quantidade
38164,27
53909,29
59091,31
26376,26
11747,24
37786,36
33196,38
31816,45
11166,27
50305,28
44301,33
51935,33
44474,39
10927,35
13725,30
42476,33
31364,25
22062,30
58068,32
64387,30
48809,31
63558,31
20681,46
43491,27
43265,21
31217,39
20946,27
40754,35
20898,37
61300,47
31472,37
19633,40
34454,38
4177,37
27445,27
46512,22
2945,37
6888,33
30629,23
15495,28
54534,29
55313,39
8177,47
26193,32
57749,35
59542,35
48542,29
52069,29
4292,34
55964,28
44678,32
12224,32
48440,36
26864,41
20861,38
18356,27
65459,38
34557,31
449,28
37666,32
49772,30
34846,26
14370,36
15394,34
37090,30
42810,43
10950,30
7355,33
54533,35
42236,32
34292,32
56524,34
1776,42
51863,29
55852,38
60946,41
58352,30
15828,28
6404,38
34935,32
16039,31
34461,33
19173,37
14735,27
42346,38
41446,40
15969,37
31381,39
51155,29
58465,40
53189,41
27865,28
56785,36
64154,39
21723,36
12405,47
58474,39
12568,34
1774,28
4747,34
31321,37
28381,34
12809,45
39808,26
3663,34
64426,44
17683,35
46484,35
6376,39
51176,23
21356,30
24833,39
50189,44
4088,34
54210,36
57737,34
39575,37
46447,31
47268,44
59532,29
22737,22
60109,34
8197,29
663,35
795,35
17368,32
60730,37
48611,28
39983,29
57516,22
57704,33
50272,34
60645,35
50811,37
12546,27
676,29
25888,32
42062,29
29487,27
42160,38
23710,49
4869,26
53225,25
65454,30
2577,39
27901,38
8612,29
23228,26
51272,38
60606,36
19314,32
15527,27
14713,42
56647,41
10824,32
14788,28
9792,22
15534,45
58990,29
61515,38
33658,29
52248,33
58173,37
20531,30
47863,39
12725,33
27952,25
18877,21
53265,39
50444,27
63593,34
16682,33
18488,32
32379,37
52365,44
2516,50
6109,31
42323,29
55624,28
13587,34
57437,37
9842,35
51173,37
35023,33
37982,39
43531,29
17454,39
24292,31
48608,36
445,45
28109,41
60930,32
43764,32
48872,21
24148,45
34944,26
22298,32
40786,27
60980,23
24283,34
10668,33
41575,39
25020,41
26807,40
23972,29
61925,36
28946,28
8202,39
49198,26
49324,36
58204,32
40261,25
42631,38
60955,24
47112,37
24629,35
12432,29
57266,57
8859,33
58581,31
35398,42
54803,34
14216,26
47520,37
16133,44
8138,28
33233,19
58193,31
23354,40
61728,30
15379,29
57354,31
14661,34
26206,37
50617,31
29832,30
37555,43
30013,24
50261,32
37363,45
21316,26
6299,26
58313,38
41868,28
44307,35
5063,31
6892,36
21737,37
49550,32
11011,29
28698,33
22342,47
59898,27
23819,26
8399,35
42678,39
25904,38
12963,38
28228,37
16457,37
30847,40
15629,29
42026,33
20625,36
45372,34
49645,40
37333,40
63952,35
20002,41
28393,49
62821,33
20498,35
39128,42
35252,34
25909,40
4324,35
57842,38
25431,34
40208,37
9555,44
18628,42
38359,42
49024,37
20405,39
62648,36
51013,29
59272,32
31356,35
10283,36
18129,26
33258,36
42897,25
19746,36
49678,37
57891,25
55759,35
21898,45
40231,37
20350,32
59930,27
24488,35
3666,28
31851,47
57377,31
54910,30
32826,37
21410,30
42565,35
2191,33
19071,49
64948,31
10591,38
10450,38
13908,36
52922,32
65060,41
27804,23
45998,36
62857,28
60496,24
53904,31
4079,24
46808,72
57494,43
44597,35
15640,36
16855,29
38252,29
5338,29
65096,27
32753,29
40522,32
3377,34
5508,29
44078,42
41857,33
31591,32
35040,28
10712,32
997,43
63702,42
22788,39
7289,37
58684,39
6162,39
52395,33
11609,31
57499,28
54405,45
23538,25
48747,33
23952,38
12030,31
9977,34
30730,28
5336,37
45546,28
64394,40
34366,34
64737,42
51803,34
23814,38
40850,37
4125,35
31067,25
34576,33
6543,38
47722,31
15975,27
61659,51
33005,40
1950,43
7204,33
58315,37
44401,40
62650,46
39809,25
5797,30
69,34
20687,41
58095,39
35298,38
26980,25
2457,42
35010,25
428,52
27393,35
57665,30
23977,29
62388,49
3048,41
34529,37
63081,42
1407,30
32949,33
52786,33
4013,30
22830,34
26770,31
18630,38
13323,37
8596,41
56594,46
50549,39
15385,35
53879,31
14884,32
33909,30
53809,35
27810,38
40603,41
30634,28
59761,33
38674,48
16143,34
37293,28
40914,40
59586,33
60294,43
5954,43
4979,47
53522,42
15135,34
34435,41
35890,33
65199,40
47866,34
64124,39
55020,36
2250,31
37964,28
27167,44
43706,33
3970,35
38005,42
59699,45
33596,31
37681,37
22749,28
19650,24
62809,31
65427,27
34008,42
36760,38
24384,34
62121,33
28277,33
43928,31
26007,38
26744,41
57385,39
20795,36
63794,42
55658,25
27280,35
5449,43
23513,26
64109,32
58015,36
28202,29
54802,35
31811,26
51404,37
33699,26
47635,42
49505,39
54415,36
13173,33
57030,43
12516,22
12003,34
47306,37
12174,42
46073,38
19093,43
52924,49
38042,37
11693,44
25526,32
38864,36
6798,36
25704,35
19084,39
2766,43
65010,38
1743,26
16981,40
60156,37
38091,36
3842,30
38760,33
54877,38
31110,32
54852,33
56818,31
50655,41
56475,29
11238,41
29851,38
14971,28
44261,33
30929,35
36635,23
14210,42
42503,54
40660,29
12830,51
11760,30
51588,46
20568,41
54700,28
11501,32
53901,33
37971,35
37552,38
33414,36
32253,39
37489,24
14276,46
20360,33
4759,38
35641,27
62117,37
8509,28
6096,41
8225,27
39340,29
45078,39
63589,30
50474,31
27120,32
51789,32
13013,35
60637,36
62758,32
15103,39
62245,33
45658,37
49382,32
53553,41
21955,38
33928,39
16096,32
59517,25
41667,47
52233,35
61012,34
5657,33
41143,29
21190,37
24006,37
58755,32
13413,28
27288,51
56580,30
31708,47
39095,39
29010,25
331,40
48706,32
47992,37
58950,46
59971,28
44000,40
31599,26
49734,44
28862,31
48551,37
42612,36
22877,27
50843,39
34166,46
32976,43
37770,26
27424,33
32272,32
56787,30
51290,33
35011,40
39325,38
47748,41
46443,41
34816,44
43461,39
25053,41
54615,37
11465,32
2316,39
8771,38
29996,37
8918,33
56692,36
26613,47
50377,41
44656,28
19870,36
12024,33
24167,32
10377,34
19749,30
23956,34
39221,37
26916,36
33919,38
33590,36
18643,37
6327,36
58919,40
27764,36
39900,34
23331,36
57228,32
41547,35
16107,30
21045,35
36474,37
45262,31
34410,36
52097,36
25297,37
25632,26
21182,30
28518,40
37444,37
23920,44
33885,33
6667,28
65201,32
44108,39
27578,38
48848,41
61341,38
29378,34
24063,43
60711,41
55144,48
16740,37
36899,36
51830,37
41097,30
43221,43
59648,36
14518,37
49318,39
7029,34
35114,38
33410,38
16575,37
2778,33
10977,45
56665,32
42021,26
23565,44
33126,39
3622,33
17435,42
3656,37
48112,39
39217,33
1984,32
21313,32
12891,29
49842,34
58276,34
9999,38
34908,41
21152,38
1987,28
45532,34
8386,42
26089,39
56164,43
64429,29
20842,33
55968,30
31276,49
59101,28
21341,29
62876,29
20195,36
61273,39
32308,37
42734,36
63537,33
3307,32
23683,32
53988,33
23659,30
29974,31
26489,33
9796,38
15979,37
5907,38
55545,38
21562,35
57294,37
36550,35
53088,48
62750,52
33129,31
18029,30
62694,31
1319,40
11925,39
52553,36
10843,22
41271,37
1284,28
1365,42
52421,35
55332,43
32023,42
65144,26
2705,33
20810,31
17982,42
49877,38
22777,28
12356,37
31258,32
27473,41
27306,28
37298,35
45812,32
16270,45
28116,33
3053,36
29174,27
28839,27
54791,57
56763,37
25985,33
48264,27
55517,25
51267,33
15211,38
60485,28
24079,41
15503,27
3843,40
36162,27
39866,26
42325,44
5308,44
59878,35
24724,45
55899,38
44792,38
22651,36
42628,29
50518,33
59978,31
44258,31
6548,41
28267,29
45326,34
44766,39
41729,45
36255,30
30033,36
6135,44
48071,44
55264,33
8740,36
55463,40
57857,35
54547,38
54745,28
52250,35
45729,32
55939,36
45318,38
50984,35
21753,34
31323,39
22269,41
5366,42
39592,36
8211,41
46441,38
601,31
40105,44
19103,44
54186,37
8036,32
53463,31
65265,31
11073,31
43189,26
11684,41
33318,33
57816,35
62017,41
2942,43
44569,38
13690,42
55709,33
1926,43
30491,44
17987,36
12842,34
8232,35
4862,41
3512,36
31180,39
33453,41
12451,34
61719,47
17942,35
11915,35
11869,30
59027,35
6450,32
32015,31
47856,40
26134,38
9136,32
52426,28
39183,37
38836,44
23666,33
37246,53
25922,41
13955,24
6476,33
65485,46
17948,29
56016,42
63182,31
28546,47
16819,44
50554,46
10533,42
9134,37
20516,34
38333,39
43338,36
41081,37
26410,33
55018,28
11963,40
25928,43
29288,38
51842,38
53881,43
35256,39
8952,46
53591,32
19159,39
58936,44
8152,42
11118,45
57440,40
23661,41
42831,41
57605,40
42219,32
7760,38
40982,40
41971,35
34719,35
52062,34
35707,34
49039,53
3215,42
58776,31
35008,40
1251,35
7177,32
44791,44
7134,42
53073,35
10829,18
9101,29
10974,43
52688,31
2539,39
30625,37
32240,38
36281,36
22863,28
1809,37
45285,41
46659,35
51025,37
10081,40
44743,32
55409,39
2815,35
40223,43
28978,40
54814,42
18445,34
58158,41
57282,34
14595,37
33538,38
25617,39
32764,34
5265,25
11187,35
38088,24
46224,45
52119,40
7348,33
51096,46
32000,37
38988,37
4131,29
11659,30
3781,29
46402,37
39029,30
30106,40
11037,40
46866,36
38462,34
17249,29
48907,44
11779,46
4041,38
13623,30
27966,57
24324,31
17322,28
6291,44
28808,45
57398,38
52844,33
20659,27
25410,43
4667,38
18949,41
158,30
19186,29
7414,40
35079,32
42028,29
13395,36
22375,27
3773,38
1967,28
40141,38
20313,41
61862,49
42886,32
21281,37
59845,39
42045,51
3518,31
4918,39
56622,38
55260,42
50096,45
58236,38
22673,45
59972,39
19283,28
61890,31
36658,43
47489,41
37096,31
43828,35
32754,36
10011,41
17136,36
57879,25
62707,39
22991,43
41234,35
30112,31
23924,31
43600,28
35613,41
35374,30
51751,35
15268,41
47805,45
6506,33
6747,41
44206,37
11778,32
64072,33
47156,36
36510,34
63499,42
57399,32
24022,36
23531,34
51168,44
64044,40
348,36
26689,44
7216,36
20246,42
37275,33
34485,33
45588,39
44321,34
5357,40
52621,34
10872,39
58038,37
27125,43
32552,36
40339,29
2185,29
58894,41
48425,38
3280,37
5730,33
35021,27
17376,40
36651,28
21425,33
56234,29
8280,34
49361,31
45856,31
43204,34
48997,42
56350,31
60446,34
22110,35
20723,33
41451,30
13929,41
60460,47
44446,24
18814,40
56023,32
53512,56
28180,35
33789,37
42930,46
45574,38
52366,42
29334,48
50484,33
49320,25
64005,35
35823,37
31210,30
24682,39
3164,47
33371,27
35439,36
3205,34
61702,38
56610,41
12113,41
11224,28
381,36
29731,35
44305,38
18391,39
44010,40
34055,39
20764,36
7862,37
53758,36
4752,32
51585,34
22852,29
44928,43
33330,28
51759,31
27169,38
25259,33
36212,38
56605,42
3413,40
49484,41
45928,39
55331,31
55341,25
23968,33
2060,39
20332,32
34062,39
51825,38
41332,35
23323,44
52317,36
33325,34
55251,43
39303,29
51940,37
62269,34
33725,49
24798,31
18856,28
48165,40
62967,47
24691,45
47024,42
24747,39
23120,40
11188,40
12599,37
27144,43
25037,38
18270,33
33557,34
19481,44
47902,45
42563,29
62095,43
30648,31
33795,41
18453,35
6090,32
56497,31
64119,46
12781,41
30813,45
3720,27
43237,30
38549,42
21561,28
54928,34
5525,32
1375,34
10109,36
55445,43
51530,40
18298,33
48604,47
14797,32
42030,39
44729,28
24514,40
10853,28
56738,36
5563,37
19001,44
17905,34
28922,38
5781,31
18785,40
16639,29
25971,39
52277,43
16777,35
58898,33
41171,31
26972,35
43690,46
38258,35
36935,28
65329,32
14089,24
25997,37
58467,36
14539,42
33890,32
10680,34
4638,27
26090,43
63409,43
19271,31
37764,31
9146,38
31216,39
12185,35
63435,32
39903,31
32762,19
63200,43
8413,28
39681,36
62148,38
53617,32
50159,38
62088,38
64445,38
46236,32
47171,34
32433,42
17832,37
26177,43
63196,35
52068,38
29128,29
53429,36
448,39
12223,44
64997,33
16494,45
55871,36
64524,35
13677,41
64891,31
51110,28
51288,37
47301,20
37458,39
52852,30
9240,26
5904,33
8925,38
3673,46
44118,43
52910,38
42916,48
21857,40
46729,33
13559,32
44888,47
18203,43
19985,38
1956,34
55214,38
32454,42
31059,36
8479,37
45642,38
63032,42
39831,36
13305,39
4790,40
31362,30
45316,34
14192,37
50196,39
21896,35
19346,31
64266,32
58255,29
1845,25
35105,35
43888,29
190,32
30774,34
37558,28
15032,35
6880,28
29544,32
313,29
22356,31
25774,33
24030,25
29258,33
36739,25
61919,37
20634,35
37483,35
48446,32
11329,32
12526,45
2970,37
5398,34
59348,46
44829,33
26883,25
23520,25
29345,42
6121,40
33951,40
37422,33
59619,31
21201,32
52908,25
29080,41
46097,35
57518,40
18343,45
7051,34
41488,36
3676,35
38662,38
35463,30
36145,40
4077,32
22161,35
33598,26
32429,36
52116,51
41893,37
61503,47
31754,39
56402,31
37515,31
57912,38
40016,38
64278,48
36200,34
33733,46
53022,36
18299,29
33337,43
49296,37
32937,33
20347,34
6992,38
10338,38
5293,26
30761,35
3515,34
49168,42
47849,27
60186,35
51159,36
17691,34
56640,27
58594,39
41357,35
51572,24
14304,39
36834,34
57328,33
15146,37
13639,34
18843,42
4751,39
63188,30
27031,32
3819,41
40694,43
15580,33
59377,48
5433,38
11509,36
683,35
1336,37
21870,31
35654,38
2040,41
35429,33
5759,42
32863,25
62302,28
30293,31
42491,37
34660,35
60971,42
20137,50
16531,37
57514,38
57236,26
16362,44
35573,37
6133,41
17131,38
57924,47
27387,37
15328,40
25101,40
3550,49
46474,29
31808,27
20124,31
20886,44
37805,34
56217,42
22815,38
22739,43
59511,32
59647,41
23285,50
3297,38
43695,37
64456,34
55569,25
28841,40
12001,36
59338,42
7751,32
44181,39
659,35
14998,31
29732,37
8344,28
32639,43
775,40
5585,31
35691,38
33806,31
61563,41
50493,49
62786,21
43304,32
45728,34
51594,29
18736,32
38616,39
33249,34
46244,32
16195,30
63211,38
23552,34
59561,34
4715,36
54847,46
30546,32
29512,48
17422,37
52501,25
33380,32
53541,39
60234,37
48356,36
42044,39
12534,25
2478,28
50154,42
64951,33
4253,24
59181,46
46086,36
50828,31
21832,25
23011,33
22551,43
37682,28
16877,30
32033,29
43456,32
48257,39
14079,36
20385,33
40422,32
23035,34
34490,47
64549,41
15082,34
25662,39
50916,31
2207,42
12346,29
28739,48
1799,34
27862,39
31604,34
23316,41
54053,38
31912,42
10138,44
1376,40
40609,31
22090,46
61885,41
41165,45
36259,32
17464,37
49181,35
58768,44
42731,42
2051,38
53337,37
21364,26
2320,31
48044,35
15230,50
31351,48
1433,28
38332,28
62855,32
62152,40
28136,23
14731,44
47179,34
55051,34
29094,33
46231,47
28913,42
5981,31
11652,40
61062,31
33723,28
32062,43
21504,36
26075,31
22533,36
48554,37
59184,35
31127,42
16535,35
60108,44
840,37
20339,40
30871,38
54175,46
14427,34
48230,24
26654,33
23493,35
5595,31
20603,32
19926,31
50859,40
2781,40
6772,42
7463,33
8250,34
27252,44
49510,38
19503,40
42186,37
62674,37
49603,39
65526,31
37864,33
55593,41
24989,38
43987,31
24973,30
44458,41
50850,32
64098,39
54799,37
38345,31
43295,36
56837,28
26554,31
330,31
26960,34
35024,32
40506,50
5281,40
15377,41
57861,29
56801,39
22611,40
45665,48
12111,43
12594,33
63203,35
53430,38
34625,39
52039,37
63201,28
54661,33
35526,32
27194,36
55535,35
46584,50
29934,39
58062,37
2748,35
35147,31
2186,37
20826,40
3027,32
1922,37
7770,31
65285,37
54471,36
19846,36
9252,43
5356,35
12153,23
45467,61
33973,36
47273,24
37994,44
53270,33
33011,39
42972,40
8669,44
39955,36
58218,38
14503,31
40395,41
34865,45
3991,52
8285,36
6184,42
14014,25
56119,37
58412,41
54606,47
20276,47
10471,35
4642,48
45130,35
20726,35
13597,30
32275,35
7539,38
41014,43
28128,34
38487,37
63109,33
61294,34
47575,26
39497,33
29907,24
42390,36
44151,42
33626,36
38921,43
49362,48
8151,36
41049,36
9552,33
33846,38
41543,44
64391,26
44620,27
61359,40
40550,29
62917,40
50696,49
22964,36
4055,47
4195,44
23705,27
41043,29
13567,34
50626,29
13267,52
10385,34
63262,34
29219,29
33563,49
53493,41
58234,42
27543,30
22949,42
1478,38
61129,37
13532,37
50021,44
41749,40
19614,34
63134,33
51542,32
60035,30
47177,35
26491,35
41340,17
43466,26
8486,26
3067,46
31813,34
2111,45
14995,41
17053,37
2313,34
28895,29
20560,39
19412,34
11434,38
9215,40
44979,29
5782,44
21048,45
27220,29
15003,34
24932,36
31003,39
56949,38
40534,28
10547,31
4124,38
45474,36
7510,32
16132,32
53460,29
35428,40
50541,38
58322,47
3239,41
38266,27
26454,36
30918,41
6034,36
2711,39
26063,40
55976,35
6438,36
57550,40
43765,36
48822,34
5138,42
8932,36
35020,31
17995,28
25092,39
39118,31
47985,35
14353,28
30402,33
36232,36
18170,35
9028,38
38386,43
65434,31
6813,42
4628,33
54275,33
34585,33
50692,28
52691,36
55713,42
30010,46
21408,44
11334,35
43620,37
15670,32
43514,34
49779,37
49935,36
33049,35
27273,41
48837,41
30030,32
48790,29
9520,40
64474,43
1793,36
61393,33
63243,32
51837,36
36644,39
26860,54
58548,28
55408,25
39131,29
49239,34
38297,38
36844,30
25025,30
19444,42
46529,39
35504,33
47183,31
31510,28
33032,36
52340,29
6915,34
28614,32
8364,29
24220,34
17194,31
61259,32
46055,32
61298,43
12742,34
54557,30
45542,45
19919,39
12447,35
30177,28
25616,43
32075,28
53626,33
22774,38
