bit,quantidade
65310,1
2,1
3,2
5,1
6,2
10,1
11,2
12,1
16,2
17,1
18,1
19,1
20,1
21,2
24,2
29,1
33,1
34,1
37,1
40,1
42,1
43,1
44,2
50,1
57,1
60,1
63,1
64,4
70,1
73,2
80,1
81,1
83,1
84,3
86,2
88,1
92,1
93,1
95,1
96,3
98,1
104,1
106,1
112,1
116,1
117,1
128,3
129,1
131,3
132,1
136,1
137,1
138,2
144,1
150,2
153,1
160,3
161,1
163,1
164,1
167,1
168,1
169,1
176,1
182,1
192,5
194,1
196,2
197,1
202,1
208,1
212,1
219,1
232,1
233,1
236,1
242,3
245,1
251,1
253,1
255,120
259,3
261,2
262,1
266,1
267,1
273,2
280,1
283,1
284,1
290,1
299,1
303,1
306,1
308,1
309,1
315,1
317,1
320,3
323,2
327,1
331,1
348,1
349,3
357,1
359,1
368,1
373,1
384,1
387,1
389,1
405,1
411,1
419,1
423,1
431,3
435,1
436,1
443,1
452,1
455,1
467,2
468,1
469,1
470,1
497,1
509,1
510,1
514,3
517,4
518,2
521,2
543,1
548,1
553,1
554,1
560,1
576,1
582,1
595,1
598,2
600,1
605,1
608,2
613,1
616,1
619,2
627,1
628,2
629,1
644,1
648,1
667,1
678,1
680,1
685,1
687,1
704,1
707,1
715,1
735,1
740,1
753,1
756,1
761,1
769,2
770,5
771,1
772,1
773,1
776,2
778,3
779,1
784,1
785,1
787,1
794,2
801,1
804,1
807,1
816,1
817,1
831,1
835,1
856,1
862,1
889,1
907,1
910,2
931,1
935,1
945,1
954,1
960,1
970,1
981,1
1009,1
1012,1
1021,1
1024,2
1026,1
1030,1
1032,1
1034,2
1036,1
1040,1
1041,1
1042,3
1048,3
1053,1
1066,3
1068,1
1083,1
1091,1
1097,1
1107,1
1110,1
1118,1
1121,1
1129,2
1132,1
1140,1
1149,1
1153,1
1155,1
1185,1
1190,1
1195,1
1212,1
1216,1
1222,1
1224,1
1229,1
1232,2
1237,1
1242,1
1250,1
1254,2
1258,2
1277,1
1281,1
1286,2
1289,1
1296,1
1298,1
1299,1
1302,1
1304,1
1305,1
1312,1
1316,1
1320,2
1324,2
1327,1
1350,1
1356,1
1359,1
1364,2
1365,1
1366,1
1368,2
1372,1
1376,1
1380,1
1389,1
1397,1
1401,1
1411,2
1417,1
1419,1
1441,1
1448,2
1456,1
1460,2
1461,1
1465,1
1466,2
1480,1
1484,1
1490,1
1492,1
1510,1
1512,1
1522,1
1524,1
1525,1
1527,1
1529,2
1536,2
1556,3
1558,1
1560,1
1575,1
1579,1
1586,1
1600,1
1602,1
1611,1
1617,1
1619,1
1621,1
1623,1
1629,1
1632,2
1644,1
1655,1
1658,1
1663,1
1664,1
1669,2
1677,1
1678,1
1680,1
1683,1
1689,1
1690,1
1702,1
1717,1
1723,1
1744,1
1747,1
1749,1
1756,1
1762,1
1763,2
1769,1
1773,1
1777,2
1779,1
1783,2
1792,2
1797,2
1803,1
1813,1
1814,1
1820,1
1824,1
1874,1
1875,2
1904,1
1913,1
1918,1
1919,1
1931,1
1947,1
1961,1
1971,1
1976,1
1980,1
1991,1
2004,1
2014,1
2028,1
2030,1
2037,1
2041,1
2042,2
2048,5
2054,1
2055,1
2062,1
2070,1
2084,1
2085,1
2092,1
2096,1
2099,2
2101,1
2103,1
2107,2
2127,1
2136,1
2137,1
2145,1
2150,2
2157,1
2167,1
2181,1
2188,1
2228,1
2231,1
2260,1
2264,1
2271,1
2281,1
2285,1
2289,1
2305,2
2312,1
2324,1
2328,1
2329,1
2332,1
2336,2
2337,1
2339,1
2349,1
2356,1
2363,1
2368,1
2383,1
2386,1
2387,1
2392,1
2393,1
2395,1
2397,1
2400,2
2411,2
2413,1
2432,1
2437,1
2454,1
2456,1
2470,1
2486,1
2502,1
2506,1
2516,1
2547,1
2548,1
2549,1
2560,4
2563,1
2565,1
2570,2
2571,2
2572,1
2574,1
2576,1
2580,2
2581,1
2589,1
2596,1
2602,1
2604,1
2609,1
2613,3
2623,1
2624,2
2627,1
2636,1
2637,1
2644,1
2653,2
2654,1
2656,1
2666,1
2667,1
2668,1
2669,2
2677,1
2678,1
2681,1
2688,2
2693,1
2695,1
2699,1
2700,2
2705,1
2707,1
2711,1
2713,1
2716,1
2720,1
2723,1
2726,1
2737,1
2745,1
2746,1
2752,1
2755,1
2756,1
2757,1
2763,1
2768,1
2773,1
2778,1
2780,1
2786,1
2788,1
2792,1
2794,1
2795,1
2801,1
2802,1
2805,1
2807,1
2809,1
2811,1
2820,1
2821,1
2822,1
2825,1
2828,1
2856,1
2858,1
2862,1
2865,1
2867,2
2868,1
2873,1
2877,2
2889,1
2891,1
2895,1
2899,1
2901,1
2902,1
2909,1
2912,1
2922,2
2923,1
2926,1
2933,2
2941,1
2954,1
2959,2
2960,1
2962,1
2965,1
2969,1
2970,2
2973,1
2984,1
2989,1
2998,1
2999,1
3001,1
3002,1
3003,1
3004,1
3005,1
3006,1
3027,2
3028,1
3029,1
3030,1
3034,2
3035,2
3038,1
3039,1
3044,1
3046,1
3047,1
3048,1
3058,1
3061,2
3063,1
3066,1
3069,1
3076,1
3082,1
3083,2
3084,1
3087,1
3089,1
3090,2
3091,1
3092,2
3096,2
3098,1
3101,1
3102,1
3107,1
3110,1
3114,1
3115,1
3126,1
3127,1
3129,1
3130,1
3136,1
3141,1
3142,1
3152,1
3155,1
3157,1
3166,1
3167,1
3168,1
3169,1
3173,1
3176,1
3179,1
3181,1
3182,2
3185,2
3186,1
3191,1
3193,2
3195,2
3199,1
3204,1
3210,2
3212,1
3222,1
3225,1
3232,1
3235,1
3237,1
3240,1
3241,1
3243,1
3249,2
3255,1
3257,2
3258,1
3263,2
3274,1
3276,2
3285,1
3290,1
3292,1
3293,1
3300,1
3310,2
3320,1
3321,3
3322,1
3328,2
3338,1
3342,1
3343,1
3353,1
3363,1
3368,1
3371,1
3372,1
3379,1
3386,1
3404,1
3405,1
3409,1
3417,1
3432,2
3434,1
3439,1
3450,1
3455,1
3461,1
3462,1
3465,1
3471,1
3473,1
3480,1
3483,1
3485,1
3491,1
3495,1
3497,2
3499,1
3502,1
3505,1
3511,1
3513,2
3520,1
