bit,quantidade
65497,1
65480,1
5222,1
5286,1
25186,1
55298,1
12458,1
7489,1
33840,1
6051,1
11717,1
3114,1
43490,1
65047,1
22561,1
23308,1
23457,1
46837,1
42873,1
44098,1
41671,1
14125,1
42237,1
4067,1
10087,1
64045,1
30420,1
55225,1
23835,1
36323,1
9607,1
45632,1
16148,1
7176,1
24896,1
15680,1
50444,1
2960,1
20615,1
6434,1
55306,1
1153,1
39456,1
10008,1
60005,1
35888,1
33356,1
12387,1
1242,1
65347,1
58408,1
59907,1
38530,1
648,1
5349,1
50269,1
6425,1
43772,1
16379,1
32518,1
52260,1
39420,1
15095,1
57309,1
59045,1
63863,1
42182,1
9007,1
45676,1
62944,1
53079,1
22329,1
18206,1
33777,1
34724,1
14074,1
42895,1
44102,1
11710,1
24464,1
28035,1
6934,1
17901,1
21863,1
11867,1
56131,1
28482,1
53084,1
4013,1
34679,1
7531,1
58230,1
10302,1
5187,1
62067,1
51894,1
28801,1
63309,1
63371,1
60752,1
64705,1
39422,1
30539,1
24530,1
60299,2
50447,1
7211,1
42302,1
20895,1
43273,1
12544,1
18221,1
3232,1
18880,1
8288,1
35378,1
8416,1
1372,1
2572,1
51864,1
23516,1
24407,1
32525,1
41728,1
65392,1
2989,1
18004,1
48121,1
34722,1
46320,1
30563,1
65344,1
31941,1
62042,1
7881,1
5173,1
509,1
26084,1
41341,1
12885,1
20930,1
34149,1
56636,1
59974,1
33332,1
50837,1
10954,1
55076,1
17714,1
1021,1
52388,1
65434,1
28513,1
56224,1
35310,1
5310,1
44634,1
17968,1
43973,1
45406,1
28967,1
65495,1
26754,1
25658,1
38524,1
64750,1
5260,1
29631,1
48677,1
20390,1
62377,1
28639,1
65119,1
55102,1
65258,1
30445,1
51085,1
63777,1
24200,1
45040,1
45678,1
48299,1
42672,1
817,1
17054,1
45461,1
64198,1
25131,1
18064,1
55446,1
31316,1
43309,1
43048,1
1803,1
9364,1
31665,1
21183,1
8151,1
20189,1
19198,1
61457,1
42972,1
64123,1
33792,1
65510,1
58149,1
51168,1
26274,1
64687,1
31036,1
47986,1
33062,1
28699,1
36333,1
44994,1
7866,1
8246,1
16784,1
11328,1
19856,1
37906,1
37018,1
202,1
12756,1
40968,1
7445,1
10800,1
19481,1
61284,1
33236,1
1680,1
8309,1
21572,1
11091,1
1316,1
19216,2
17440,1
3667,1
43286,1
37682,1
5603,1
29166,1
32850,1
25669,1
25957,1
11046,1
40365,1
18224,1
25643,1
50347,1
42148,1
23257,1
38293,1
50991,1
54717,1
37489,1
28746,1
38775,1
26873,1
16210,1
48393,1
30930,1
19133,1
22825,1
19705,1
51576,1
60815,1
10517,1
20003,1
64722,1
9309,1
10743,1
65093,1
48396,1
30170,1
39837,1
56053,1
36947,1
36554,1
51220,1
6257,1
4884,1
8449,1
17941,1
27417,1
55422,1
35546,1
41008,1
21033,1
40970,1
33538,1
83,1
10416,1
20544,1
30360,1
32622,1
34520,1
64654,1
25989,1
51271,1
18927,1
24204,1
63948,1
3038,1
60817,1
4399,1
63924,1
45636,1
45734,1
52743,1
57061,1
63135,1
56219,1
7971,1
57165,1
64630,1
8150,1
61858,1
26018,1
41353,1
1401,1
55950,1
61884,1
8709,1
61727,1
7214,1
19609,1
35487,1
61804,1
65485,1
55205,1
21326,1
31531,1
11150,1
32486,1
6852,1
910,2
22014,1
59000,1
29850,1
42646,1
53043,1
29900,1
48426,1
23385,1
18527,1
47074,1
