bit,quantidade
61946,1
63230,1
62455,1
62193,1
62450,1
62454,1
62448,1
62712,1
64224,1
62958,1
63717,1
61174,1
59902,1
63461,1
63730,1
62711,1
61181,1
60668,1
64229,1
63467,2
62960,1
62713,3
62968,1
62970,2
62451,1
63983,1
60924,1
62190,1
62709,1
62702,2
61438,2
61948,2
62695,1
62697,1
63470,4
63219,2
61436,2
63220,1
62461,1
63731,3
61940,1
62196,1
62967,1
62715,2
62707,1
62964,2
61692,3
63462,1
63464,1
63720,1
64240,1
62198,1
65266,2
62202,3
63481,4
63726,3
64499,2
62962,2
59135,5
65252,1
63986,3
65256,1
65260,1
65011,4
63473,2
64740,1
62708,1
65005,4
64753,2
65268,3
65265,3
64754,2
64497,1
64495,2
65263,1
64750,1
65004,2
59647,5
64491,1
64745,1
59391,3
64743,1
60159,8
30632,1
29603,1
31652,1
32951,1
33975,2
10293,1
9839,1
4970,1
19019,1
1869,1
3353,1
1817,1
8309,1
21589,1
8817,1
4193,1
22562,1
7833,1
4210,1
17301,1
10368,1
587,1
6506,1
4180,1
6779,1
4736,1
4441,1
5774,1
28728,1
23844,1
28472,1
11402,1
15173,1
14986,2
13206,1
615,1
10371,1
17545,1
8584,1
2144,1
3927,1
6785,1
4946,1
6536,1
4939,1
7815,1
882,1
19355,1
10628,1
13966,1
6758,1
18007,1
5252,1
2154,1
25391,1
6258,1
4951,1
6273,1
14088,1
12441,1
26932,1
6239,1
7044,1
26162,1
18084,1
6526,1
13331,1
645,1
5257,1
4735,1
25134,2
3174,1
7283,1
3707,1
1067,1
11911,1
7552,1
107,1
7004,2
6267,1
10890,1
14989,1
6272,1
12431,1
8581,2
1624,1
2389,1
4236,1
856,1
8570,1
2422,1
9611,1
5784,1
5244,1
12953,1
7306,1
21800,1
7530,1
4727,1
11406,1
9330,1
25654,1
9109,1
18516,1
28213,1
5766,1
19597,1
8554,1
11062,1
8602,2
27957,2
28725,1
13730,1
29757,1
6995,1
4429,1
5501,1
9878,1
4177,1
2622,2
8347,1
14493,1
24365,1
11426,1
9357,1
7308,1
4688,1
18970,1
23346,2
1160,1
29503,4
10121,1
26416,1
6229,3
9873,1
12554,1
1327,1
1038,1
7057,1
37028,1
5234,1
3717,1
9102,1
14472,1
4702,1
6752,1
5443,1
6806,1
18583,1
27187,3
1340,1
6000,1
30160,1
66,1
5771,2
3966,1
7816,2
20831,1
5211,2
9348,2
6543,1
21083,1
16806,1
19869,1
26411,1
12189,1
28216,1
2819,1
3408,1
2890,1
4997,1
3191,1
6013,1
2941,1
4175,1
5249,1
14231,4
5777,1
19744,2
12683,2
27441,1
7310,1
7307,1
12037,1
18839,1
3459,1
2168,1
5267,1
12190,1
20643,1
15759,4
2307,2
7761,2
7555,1
3205,1
3186,1
25907,2
7065,1
6730,1
2901,1
1608,1
1630,1
13475,1
22304,1
4228,1
9092,1
5480,1
21859,1
13977,1
27447,6
16528,2
8568,1
4244,3
13971,3
15778,1
9090,1
6802,1
20626,1
10657,1
6283,1
6278,1
6735,1
20825,1
26673,2
5526,1
21595,1
19101,1
316,1
8283,1
3699,1
14041,1
7541,1
12696,1
6788,1
7572,1
7431,1
8820,1
7254,1
8067,1
25902,1
21802,1
8088,3
597,1
7060,1
16310,1
1114,1
21200,1
21018,1
19282,1
7827,1
5767,1
9100,1
14488,4
10137,1
4189,1
9368,1
4739,1
26990,1
3918,1
5227,2
2401,1
18836,1
19023,1
6535,2
23915,1
15174,2
7002,3
10136,1
11784,1
9363,1
9352,1
34091,1
5757,1
10374,1
4468,1
5205,2
16972,1
12433,2
20116,1
30018,2
14481,7
575,1
1372,1
15764,2
1331,2
18287,1
12682,2
13967,2
7528,3
20129,2
9103,1
9809,2
9848,1
1861,2
35478,1
2938,1
307,1
4873,2
3658,1
12169,1
32476,1
5458,2
3188,1
9369,1
6810,1
17221,1
3585,1
1875,1
19533,1
17233,1
11654,1
12689,1
20304,3
18060,1
578,1
11939,1
10703,1
26844,1
5382,1
3697,1
15268,1
7523,1
27339,1
5964,2
610,1
9350,1
11149,1
19553,1
21163,1
41586,1
19104,1
1618,2
7110,1
45950,1
15071,1
3178,1
19618,1
7943,2
4430,1
5240,2
17826,1
20899,2
21416,1
16015,6
19039,2
7062,1
2917,1
4973,1
18,1
22691,1
4431,2
377,1
10375,1
23971,1
18850,1
606,1
3355,1
6032,1
6150,1
3158,1
6513,1
5748,1
1851,1
6494,1
15635,2
13581,1
5220,1
5213,1
10063,3
7769,1
4356,1
9333,2
1332,2
8324,1
5229,1
28121,1
8068,1
12179,1
17058,1
26934,4
3944,1
3916,1
816,1
308,1
8197,3
2363,2
1886,1
3383,3
6797,1
8832,1
21079,1
3945,1
9322,2
9476,1
5637,2
19546,1
11151,1
10101,1
9014,2
20647,1
14482,2
17494,2
17236,2
8583,1
40405,1
1070,1
3146,1
22101,2
7814,1
5436,1
572,1
3659,1
20567,1
11663,3
26931,2
7017,1
8589,1
43118,1
3425,1
555,1
810,1
17234,3
2141,1
22611,2
8090,2
19617,1
17815,1
15514,2
39527,2
12439,1
26158,1
13979,2
4684,1
10102,1
5248,1
2641,1
18458,1
35922,1
5192,2
2117,2
8528,2
9826,1
11403,1
12950,3
20132,1
5250,1
18841,1
16796,2
8827,1
3073,1
9059,1
39517,1
5732,2
18361,1
4945,1
1074,1
13708,2
18254,1
15961,2
22449,1
20903,2
34384,2
20641,1
21155,3
27185,1
17493,4
8588,1
7039,4
4669,4
10155,1
13209,2
566,3
1850,4
2886,2
7249,1
22896,1
16805,1
19879,1
3095,1
18579,1
13459,2
15516,2
14745,1
18247,1
92,1
4707,2
23909,1
23486,1
815,1
1336,3
569,1
2370,3
20078,1
8046,2
2335,1
19277,1
20318,2
21432,1
23201,1
19364,2
34639,1
11272,1
9866,1
14735,1
7072,1
5733,1
33339,1
7720,1
5452,1
11398,1
1086,1
20089,1
20908,1
19620,1
35154,1
97,1
21145,1
7292,1
14748,4
27191,8
2822,2
17218,1
14401,2
3431,2
38310,1
3170,1
576,1
1082,2
6527,1
9559,5
4961,1
120,2
19362,2
18331,2
27449,8
16019,4
15169,2
7250,3
9733,1
39011,1
20147,1
27706,4
3331,1
10351,3
22874,2
