bit,quantidade
55807,2
64388,1
65228,1
49231,1
1182,1
18798,1
51055,1
64239,1
51759,1
65345,1
32584,1
7587,1
51699,1
58150,1
63504,1
1253,1
43502,1
48512,1
5886,1
18240,1
43167,1
51334,1
8440,1
31938,1
45298,1
21517,1
15184,1
2866,1
45184,1
37892,1
29408,1
6647,1
41029,1
12991,1
35920,1
18503,1
63620,1
3560,1
4339,1
61507,1
60037,1
7618,1
64562,1
8435,1
36981,1
17532,1
21514,1
14209,1
29273,2
4476,1
21185,1
5381,1
8324,1
24778,1
3688,1
30851,1
10294,1
39740,1
49524,1
44129,1
2576,2
45812,1
52861,1
24392,1
32937,1
61984,1
64654,1
1401,1
34812,1
33728,1
8374,1
37261,1
23977,1
30217,1
43233,1
58527,1
19871,1
8240,2
40996,1
40651,1
21011,1
40322,3
27649,1
33693,1
58500,1
48908,1
17726,1
65373,2
38112,1
4337,1
52755,1
12838,1
64719,2
10375,1
4426,1
21544,2
64549,1
36959,1
56481,1
26163,1
20642,1
18837,1
16925,1
3832,1
14000,1
35452,1
53332,1
39713,1
15127,2
1292,1
47361,1
1866,1
18156,1
17071,1
32002,1
54144,1
26268,1
10129,1
59597,1
5893,2
33273,1
59501,2
43525,1
59562,1
4346,1
22360,1
41760,1
35421,2
42932,1
21201,1
15088,1
49670,2
51065,1
41208,2
59397,1
51625,1
16515,1
61955,2
27138,1
31068,3
31786,3
404,2
38028,1
30852,1
30457,1
4232,1
16822,3
8575,3
43960,1
62051,1
47175,2
16399,2
37115,1
2754,1
31090,1
43649,1
33276,2
36682,2
58651,3
33357,1
21385,1
55047,1
34562,1
57851,1
4008,2
22786,2
9375,3
8506,1
61195,1
8884,1
12541,1
1939,1
53747,1
31028,1
60188,1
1844,1
53644,1
29470,1
58471,3
3982,4
42395,2
50659,2
24312,1
57104,1
41799,1
50214,1
64343,4
49040,1
26462,1
33736,1
58177,1
40324,1
49169,1
35624,1
37074,1
34991,1
18312,1
2296,1
54026,1
65487,1
41301,1
8428,1
32404,1
10484,1
43368,1
19147,1
18112,1
27792,1
57184,1
62562,1
62825,1
31348,2
42874,1
16608,1
49186,1
65465,4
27470,1
36774,1
28494,1
20804,1
42236,1
17795,1
29545,1
4646,1
31489,1
38012,1
27434,1
50662,2
55135,1
65419,5
32537,1
20810,1
64597,1
35709,1
62149,1
6395,1
21362,1
14101,1
5674,1
13896,1
35613,3
55132,2
25297,1
9446,2
19480,1
26922,1
20493,1
5285,1
7314,1
38748,1
6786,1
19977,1
54396,1
20064,3
2456,1
59403,1
34278,1
42848,1
14906,1
28937,1
44838,1
41729,1
12208,1
15554,1
27522,1
23980,1
50819,1
15781,1
58887,2
8042,1
35403,1
24992,2
29002,1
65185,1
52257,1
38031,1
22851,1
36041,1
34648,1
21938,1
8207,1
17355,1
10519,1
58930,1
59336,1
35809,3
42219,1
46668,1
39034,1
51671,1
10335,2
41767,1
7159,1
56076,1
28923,1
29224,1
10145,1
38211,1
2214,1
13256,1
34288,1
13140,2
52956,1
25811,1
58972,1
60178,1
31808,2
30280,2
58447,1
64907,1
32822,2
50452,1
4545,1
26291,1
37780,2
64811,1
12425,1
46461,2
61761,2
28689,1
65107,2
29082,1
65091,1
16170,1
20658,1
1378,1
44368,1
6436,1
55140,1
25649,1
40786,1
50876,3
50300,1
52502,1
30757,2
34722,1
32552,1
10175,1
15951,1
24358,1
64769,1
58064,2
33485,2
290,1
3553,1
8927,1
2636,1
15136,1
13310,2
58537,1
21005,1
9495,1
56733,2
23063,2
31082,1
730,3
64318,1
49219,1
19583,3
59642,1
62800,1
10685,2
59174,1
52416,2
33815,1
47555,1
46316,3
152,3
64342,2
34809,1
6043,1
12479,1
48427,1
65455,2
20933,1
17346,1
25068,1
1644,1
65374,2
45256,1
25102,2
12267,1
21875,1
4187,2
1144,1
17519,1
37628,1
4115,1
64545,2
34793,1
45609,1
61771,1
115,4
59503,1
25328,1
53739,2
31613,1
19454,2
56919,2
7136,1
4272,1
43918,1
17863,1
2104,1
38089,1
52740,1
55365,1
64551,2
38083,5
61193,1
15941,1
4222,1
37930,1
4622,1
19726,2
12421,1
23806,2
50606,3
33853,2
41808,2
4341,1
7039,2
31345,2
2221,1
33910,2
42340,2
61429,2
54611,2
48416,1
59514,1
20968,1
4005,1
15768,3
24449,1
2193,1
32824,2
3074,1
32066,2
59489,1
50663,1
13416,2
60162,1
6726,1
41248,3
10878,1
47484,6
10905,1
42054,1
41764,1
43024,2
21394,1
64248,2
9887,2
25214,2
21039,1
2528,2
48612,1
12435,1
48712,1
20400,1
4922,1
37760,1
49909,1
58379,2
17504,2
1972,1
2523,2
24380,1
10914,3
55736,1
27955,3
31536,1
41114,2
12436,3
16687,1
35533,2
2977,2
17669,1
53250,1
62413,2
81,1
58059,2
55380,1
19936,2
8709,2
40121,1
25239,1
9057,2
2373,2
42023,1
38914,1
43412,3
58439,1
43162,1
21965,1
32041,2
59595,1
20095,1
31871,1
25482,1
32360,2
55590,1
52989,2
64004,1
11987,1
48649,1
4626,1
59810,1
43895,3
2513,1
24915,1
59758,1
43396,1
1204,1
19255,1
24416,1
10106,1
23073,1
31548,1
47133,1
5976,1
55367,2
49574,1
40834,1
17336,1
49588,2
14417,1
4165,1
42263,1
64421,1
33217,1
49678,1
11536,1
39778,1
55256,2
39122,2
34185,1
52482,1
60231,1
4669,1
48350,1
27119,6
22280,2
33586,3
57470,1
40904,3
18229,1
58551,1
58384,1
4198,1
39669,2
51204,1
36056,4
29640,1
51708,1
1553,1
44939,1
63627,2
13054,2
1002,4
50446,1
26760,1
64594,2
34557,3
42211,1
19710,2
1468,2
58748,1
18377,1
26878,1
7824,3
38817,2
37200,1
63784,1
59249,6
5056,1
34945,1
31426,2
59275,2
65104,1
10127,2
10303,2
6181,1
5535,2
51108,2
60779,1
8602,1
27169,1
46176,1
1506,2
8468,2
644,2
21444,1
11795,3
10623,1
20168,1
49162,3
17611,1
65415,2
62000,2
33977,2
32356,3
16897,2
32853,2
32170,3
24851,1
52509,4
13578,2
41444,1
8886,1
55733,1
63514,1
37595,2
26123,2
11137,1
51684,1
5738,1
5981,1
23560,2
32264,2
4357,3
34056,1
48907,2
51638,1
1731,3
41614,1
58254,3
4941,1
36826,1
34632,1
60752,1
7741,1
22983,1
10598,1
45211,2
59831,2
53443,1
21309,2
49598,1
42274,1
42210,1
43266,5
13893,1
52641,1
50854,2
56833,1
61688,1
4858,1
54083,3
41488,1
34696,1
53521,2
6340,1
19449,3
3458,2
21470,1
24979,1
21680,1
41440,1
31384,1
5271,1
10993,1
19598,1
4816,1
21488,1
32242,1
42052,1
45449,1
6591,1
29424,1
2594,2
14154,1
2470,1
10825,1
14351,1
35146,1
7506,1
15016,1
12404,2
64208,1
57056,2
26967,1
4269,1
39087,3
39812,2
4178,1
52580,1
39216,2
32546,1
50974,2
65495,2
37362,1
62535,1
28250,2
35491,4
60544,4
17225,1
63393,2
45731,2
3809,1
28545,3
49994,1
627,2
62680,2
5548,2
41211,1
33650,1
28994,1
52247,1
49647,2
21642,1
54544,2
25159,2
2300,2
14526,1
6332,1
8010,1
23172,1
731,1
41829,1
20382,2
22649,2
35154,1
59565,2
3396,1
8640,2
62214,1
50531,2
44859,1
21426,1
27690,1
7765,1
3389,3
11509,2
32147,1
62043,1
35869,1
45481,2
1098,1
19010,1
24135,2
34927,1
29840,4
54274,1
22321,1
50878,2
41271,1
16226,2
55796,2
3716,1
24669,1
65065,1
15684,1
20270,1
54207,2
36638,1
49348,1
1766,2
41846,1
49604,1
12139,1
46577,3
37081,1
5832,1
667,2
18792,1
