bit,quantidade
57201,1
14575,1
61425,2
15501,1
40100,1
36419,1
50267,1
54397,1
29526,1
58029,1
35566,1
60320,1
29726,1
29770,1
27909,1
21157,1
11494,1
11451,1
28117,1
23513,1
55339,1
21082,1
43937,1
59722,2
27179,1
2491,1
10490,1
35629,1
60290,1
22145,1
12212,1
47688,1
62885,1
41562,1
59522,1
35488,1
22659,1
45066,1
5089,1
44819,1
36496,1
44579,1
34860,1
48224,1
48103,1
45047,1
15775,1
62910,1
37517,1
59505,1
40903,1
7327,1
31202,1
6043,1
51951,1
42578,1
35364,1
1210,1
38493,1
36983,1
23666,1
51685,1
44120,1
19002,1
41710,1
25025,1
27941,1
5669,1
18657,1
56043,1
5211,1
47691,1
56357,1
7350,1
38277,1
27653,1
48758,1
47010,1
41083,1
60814,1
65440,1
20838,1
40450,1
28305,1
5587,1
51721,1
20435,1
26552,1
57091,1
63946,1
13161,1
48690,1
13871,1
48827,1
54903,1
54445,1
48804,1
52819,1
22743,1
31428,1
39638,1
32740,1
16987,1
5756,1
8749,1
42213,1
60281,1
60221,1
32751,1
57207,1
57331,1
46439,1
31223,1
34805,1
53394,1
1254,1
63378,1
46880,1
29427,1
25807,1
22513,1
64492,1
31697,1
43508,1
21854,1
22172,1
18924,1
52750,1
14757,1
60582,1
61023,1
31968,1
19224,1
64758,1
41685,1
44872,1
58773,1
31720,1
30166,1
63036,1
10763,1
55946,1
31014,1
32645,1
29871,1
48109,1
39197,1
62638,1
64206,1
56635,1
47971,1
28533,1
49102,1
10671,1
62865,1
43752,1
43043,1
16631,1
49531,1
17278,1
50642,1
49388,1
16756,1
14807,1
4329,1
53053,1
19299,1
2621,1
49655,1
13687,1
46330,1
61916,1
30239,1
48443,1
62678,1
61761,1
16256,1
60089,1
11049,1
48721,1
27817,1
48818,1
29823,1
30275,1
46798,1
62310,1
42967,1
32526,1
48479,1
29599,1
57759,1
16546,1
14720,1
10984,1
14569,1
55397,1
2849,1
1663,1
15419,1
17720,1
13553,1
42246,1
58766,1
43068,1
63118,1
52879,1
53606,1
53915,1
34170,1
36294,1
59137,1
56648,1
62344,1
35184,1
32704,1
62784,1
44582,1
31509,1
49586,1
17369,1
35778,1
11899,1
25765,1
63098,1
48822,1
11033,1
5170,1
13439,1
64589,1
45559,1
19111,1
48930,1
31032,1
14229,1
16010,1
65189,1
37749,1
64312,1
3015,1
35647,1
19955,1
53829,1
44930,1
53942,1
38332,1
46003,1
56641,1
11473,1
50999,1
42341,1
64085,1
39419,1
38335,1
54991,1
47930,1
35422,1
46462,1
35770,1
30221,1
60593,1
20294,1
12974,1
59932,1
57169,1
8693,1
53653,1
15016,1
51381,1
53423,1
10730,1
45453,1
58527,1
45977,1
49497,1
28831,1
47398,1
7277,1
39134,1
44063,1
6325,1
22423,1
21186,1
32910,1
57362,1
23471,1
36829,1
41589,1
47961,1
57743,1
63909,1
47835,1
61381,1
50684,1
15649,1
38582,1
40011,1
42235,1
25313,1
43338,1
60545,1
47082,1
33839,1
34214,1
43050,1
60386,1
33465,1
29055,1
9498,1
10901,1
27936,1
13469,1
41823,1
22734,1
9221,1
13375,1
22293,1
23123,1
2898,1
29765,1
57226,1
59858,1
32511,1
48108,1
30628,1
6908,1
33293,1
55583,1
37134,1
62491,1
58694,1
63561,1
47765,1
29253,1
48164,1
6132,1
64382,1
16095,1
11446,1
31457,1
9911,1
9499,1
61567,1
40112,2
28975,1
21909,1
13655,1
64368,1
7145,1
