bit,quantidade
23707,1
54533,1
11307,2
38803,2
4123,2
54733,2
54530,1
20531,1
36913,1
36899,1
45089,1
45087,1
45312,1
46336,1
47360,2
50433,1
44032,1
24835,8
39680,9
40704,9
44800,26
51968,96
57088,125
60160,136
5632,48
51200,2
52224,1
61440,1
26164,1
26030,1
26024,1
26020,2
25938,1
25930,1
25824,1
25712,1
25688,1
25650,1
25630,1
25606,1
25564,1
25542,1
25478,1
25046,1
24912,1
24430,1
24292,1
24098,1
24066,1
23996,1
23836,1
23724,1
23712,2
23608,1
23578,1
23526,1
23404,1
23212,1
23052,1
23050,1
22976,1
22844,1
22676,1
22662,1
22542,1
22532,1
22520,2
22346,1
22254,1
54461,3
22040,1
22026,1
22006,1
21932,1
21840,1
21832,1
21796,1
21794,1
21626,1
21584,1
21540,1
21538,1
21482,1
21418,1
21400,2
21356,1
21276,1
21266,1
20918,1
20800,1
20752,1
20688,1
20634,1
20620,2
20600,1
20536,1
20492,1
20364,1
19910,1
19680,1
19364,1
19064,1
18918,1
18896,1
18794,1
18716,1
18686,1
18680,1
18540,1
18476,1
18202,1
17530,2
17158,2
16992,1
16920,1
16904,1
16834,1
16622,1
16458,1
16116,1
15908,1
15826,1
15604,1
15370,1
15050,1
14918,1
14900,2
14886,1
14828,1
14822,1
14508,1
14318,1
14160,1
13616,1
13606,1
13594,2
13554,1
13532,2
13258,1
13248,1
13238,2
13226,1
13128,1
13004,1
12994,1
12962,1
41911,1
49397,1
12754,1
12476,1
12180,1
12124,1
12114,1
12082,1
11960,1
11682,1
11614,1
11600,1
11536,1
11520,1
11492,1
10950,1
10942,1
10932,2
10474,1
10420,2
10338,1
10178,1
10148,1
10144,2
10050,1
9672,1
9642,2
9628,1
9606,1
9600,2
9464,1
9432,1
9176,1
8926,1
8904,1
8722,1
52725,1
8680,1
8548,2
8526,1
8370,1
8290,1
8180,1
8172,2
7804,1
7548,1
7044,1
6872,1
6228,1
6222,2
5890,1
5828,1
5656,1
5432,1
5248,1
5196,1
5016,1
4966,1
4736,1
4698,1
4418,1
4290,1
4282,1
4260,1
4242,1
4156,1
4118,2
4114,1
4042,1
3766,2
3576,1
54479,6
54499,1
65384,1
65298,1
65292,1
65016,1
64734,1
64612,1
64534,2
64460,1
64402,1
64366,1
64348,1
64176,2
64142,1
64134,1
64066,1
64008,2
63998,1
63760,1
63672,1
63632,1
63614,1
63604,2
63558,1
49147,3
61391,1
62904,1
62784,1
62776,2
62540,2
62370,1
62176,1
62114,1
61896,1
56305,4
56269,2
61901,2
52721,7
54235,1
61915,4
57841,1
59889,6
61921,3
61929,9
61544,1
61488,1
61196,1
61188,1
61122,1
61050,1
60960,1
60688,1
60602,2
60498,1
60406,1
59796,1
59746,1
59512,1
59506,1
59310,1
58628,1
58412,1
58314,1
58216,1
58132,1
58110,1
58080,1
57956,1
57950,1
57906,1
57840,1
57414,1
57388,1
56938,1
56620,1
56476,1
56350,1
56330,1
56216,1
56084,1
56076,1
55984,1
55252,1
55056,1
55044,1
55042,1
55038,1
54900,2
54762,1
54542,1
54468,1
53942,1
53932,1
53860,2
53842,1
53472,1
53438,1
53396,1
53084,1
52926,1
52918,1
52858,1
52846,1
52822,1
52680,1
52664,1
52594,1
52464,1
52264,1
52240,1
52226,2
52204,1
51932,1
51786,1
51610,1
51588,1
51318,1
51308,1
51168,1
51110,1
50706,1
50694,1
50682,1
50674,1
50652,1
50602,1
50360,1
50352,1
50262,1
50156,1
49986,1
49954,1
49952,1
49860,2
49786,1
49776,1
49728,1
49714,2
49646,1
60585,1
49296,1
49272,1
49146,1
48998,1
48892,1
48842,1
48778,1
48738,1
48726,1
48506,1
47984,1
47202,1
47194,1
47104,2
46932,1
46862,1
46772,1
46754,1
46732,1
46496,1
46476,2
46360,1
45894,2
45852,1
45840,2
40872,2
43167,5
43253,2
45596,1
45506,1
45254,1
45156,1
44970,1
44954,1
44766,1
44626,1
44378,1
44044,1
43774,1
43726,1
43468,1
43310,1
43294,1
43268,1
42914,1
42620,1
42518,1
42232,1
41986,1
41954,1
41938,1
41868,1
41788,2
41616,1
41606,1
41590,1
41450,1
41234,1
41210,1
51171,1
63704,2
55523,2
62179,4
62185,5
40952,1
40940,1
40754,1
40570,1
40432,1
40430,2
40404,1
40384,1
40020,1
39814,1
39792,2
39710,1
39698,1
39660,1
39652,1
39634,1
39596,1
39588,1
39574,2
39504,1
39494,1
39426,1
39414,1
39396,2
39316,1
39306,1
39172,1
39130,1
39128,1
38884,1
38872,1
38822,2
38752,2
38698,1
38684,1
38622,1
38522,1
38520,1
38422,1
38396,1
38348,1
38140,1
38132,1
37816,1
37750,1
37408,1
37314,2
37312,2
37236,1
37200,1
37184,1
37070,1
37060,1
36858,1
36844,1
36616,1
36614,1
44223,1
61129,1
36390,1
35916,1
35770,1
35756,1
35728,1
35712,1
35522,1
35052,1
34920,2
34816,1
34762,1
34438,1
34286,2
41129,2
61117,1
34202,1
34194,1
34158,1
33984,1
33972,1
33912,1
33866,1
33828,1
33736,1
33726,1
33638,1
33542,2
33446,1
33374,1
37017,1
62879,1
45471,2
33342,2
33314,1
33258,1
33246,2
33128,1
33032,1
32964,1
32942,2
32680,1
32672,1
32660,1
32556,1
32542,1
32354,1
32272,1
32256,2
55749,1
55759,1
32136,1
32126,1
32108,2
32048,1
31676,1
31594,1
31578,1
30978,1
30960,1
30948,2
30876,1
30848,1
30820,1
30790,1
30786,2
30662,1
30658,2
30632,1
30620,1
30602,1
