bit,quantidade
56226,21
4942,38
48841,36
54895,37
59425,32
37752,27
27098,37
33178,44
32456,20
38358,33
61998,20
56168,30
3618,35
23902,34
46517,33
10484,23
14643,38
26666,36
14677,34
31127,31
27665,30
51009,37
47363,32
3772,41
62764,26
3139,29
10031,30
46172,24
5023,31
4607,31
3345,31
26079,34
49750,27
16598,30
49661,31
8428,35
44162,30
17683,21
40761,30
21664,38
4766,34
40755,35
57914,18
57411,40
51754,43
8084,29
63858,39
37334,43
37075,25
27288,49
47374,27
16764,25
14012,34
13222,32
7715,26
44265,27
1866,31
24030,32
55421,38
14225,22
58865,31
5071,40
65329,41
51836,29
43011,32
15423,30
49036,31
52477,25
24045,44
42400,29
50246,30
57631,35
36790,32
15401,26
6218,32
46434,28
24101,31
36817,39
57173,21
61665,35
12657,33
60993,34
35536,27
41848,38
17288,40
51063,32
33018,32
16639,29
31270,34
38109,25
50713,29
63901,33
59061,26
46650,37
26761,41
46997,29
65138,39
6838,39
39487,21
53185,24
59452,35
40722,20
5615,35
51974,30
32550,31
54374,33
22406,39
22739,17
4210,26
13311,29
40531,37
45060,49
39235,42
58846,38
20726,28
47778,38
21627,39
55714,44
61810,32
46060,29
19843,35
45944,28
9742,32
57164,26
21171,39
53484,32
8776,32
2286,36
51391,25
11785,39
48077,30
16977,41
31125,39
21898,38
59761,31
29673,29
1002,34
40938,37
49515,30
56130,49
20887,40
52222,36
55022,34
34180,36
13150,28
24989,43
53429,39
29464,43
17201,36
63070,37
62022,42
50471,36
22505,44
21732,39
45494,30
6524,39
20375,30
15109,33
15120,41
43828,29
7121,33
739,29
22352,33
64540,30
60278,38
48343,36
16109,50
36351,29
62742,34
43701,42
17447,35
19944,27
50891,36
33632,27
12214,27
34612,34
18348,37
30188,27
15310,38
26147,29
23104,38
28819,32
14984,49
40339,30
17980,34
16529,32
60760,27
65268,38
39895,43
9240,30
35068,32
10534,34
64211,42
33725,42
48850,30
18939,35
19208,37
49776,30
34651,32
60615,31
8182,44
31715,40
16120,38
14609,28
57874,46
18199,31
40281,30
41830,27
44460,33
10264,32
11272,42
60008,32
38168,32
63340,38
24507,40
23186,31
58675,25
63297,52
50285,25
17189,35
10183,41
5767,35
20479,33
58147,51
36589,44
58792,35
46225,32
28519,37
28071,38
24631,49
25128,36
11287,41
41857,33
19974,37
34305,45
34071,36
18840,44
64776,31
11489,30
14971,25
54560,36
58955,34
40594,34
525,44
51796,38
57974,20
9660,26
6757,41
635,37
60498,36
30255,38
53632,46
15420,31
44490,47
12697,38
12538,39
840,27
19317,24
18856,33
24284,39
38620,40
22426,34
48514,39
57293,41
43818,47
56477,31
43244,28
39105,30
18009,31
9921,28
62615,33
19634,48
41214,29
59983,21
34875,38
56096,29
8782,33
20404,38
6769,41
58388,44
31184,43
21442,27
3876,37
51489,32
64565,31
10197,39
47989,50
21203,32
29790,26
5449,46
40369,43
9552,48
9746,41
49538,24
26105,29
33237,42
13421,42
891,31
9536,39
26737,37
15274,37
9204,29
51258,37
62065,34
24672,34
52802,34
22842,36
6083,40
57311,43
7131,44
36543,34
35654,33
12054,32
49802,32
26516,42
31290,35
19463,28
41795,31
40898,23
14863,37
49622,30
13160,47
23166,34
41950,28
39807,30
46652,46
54261,41
14338,37
10554,17
57485,34
11665,47
28305,33
16320,37
61726,34
46160,37
45704,28
48633,39
51663,28
18036,38
473,45
28022,22
20723,27
39340,42
41717,50
54238,34
34008,35
38337,42
42732,38
36961,30
63853,39
41965,31
667,29
24423,33
17104,52
3154,38
16531,36
23091,27
12599,35
1116,43
44236,20
43496,35
43630,30
12809,30
24152,33
31804,23
9133,34
9359,35
21998,30
45938,28
6440,33
33643,41
27787,36
52412,37
56060,24
35104,40
29182,39
34284,27
63584,38
27386,34
32492,33
17846,39
64121,28
26499,30
17097,43
58644,34
23230,41
44480,40
12704,29
53879,27
29472,34
26007,34
51995,33
17942,49
45380,34
40808,29
39567,30
10159,26
23169,40
2150,43
63404,38
2850,39
24363,29
42593,48
65076,27
52655,28
31575,34
47722,38
51626,30
1898,36
54800,32
8727,35
33287,37
25766,29
63243,31
27799,36
54634,42
32892,43
10911,32
36843,35
11561,33
46110,31
63803,33
13509,35
47405,40
35574,29
13251,44
3017,29
28922,33
8008,36
8596,87
65474,34
5774,34
7765,36
45538,35
61785,30
57407,35
17926,41
9165,26
22480,30
52321,27
58133,31
8425,31
55008,29
2023,28
22066,29
7155,51
12082,30
47054,40
