Valor Binario,Quantidade
4256,1
9892,1
1694,1
29314,1
44493,1
65473,1
1099,1
29938,1
39989,1
65534,1
23940,1
14656,1
32779,1
28391,1
24599,1
40984,1
52586,1
4698,2
546,2
43428,1
13602,1
27728,2
1462,1
3778,1
25864,1
9746,1
492,2
50753,3
7041,1
31088,1
11154,1
42007,1
3265,3
1794,1
8868,3
23551,1
12470,1
38106,1
5381,3
60555,1
60260,2
51664,1
42508,1
2295,1
56576,2
3729,1
60399,2
55717,1
39248,1
23967,2
43273,1
42629,2
3395,1
5894,1
64864,1
32957,1
33740,2
114,2
39873,2
63671,2
40142,2
3550,1
34844,2
13913,1
23822,1
30739,2
38560,2
6238,2
2064,1
41784,1
31391,1
34636,1
31501,1
15620,2
13910,1
5386,2
17484,2
8451,1
11253,1
5907,3
54215,1
8959,3
20578,1
49153,2
12287,1
30787,2
10133,1
14417,4
44608,1
1178,1
47980,2
33901,1
17475,1
30554,3
25883,3
58549,2
42173,1
45949,1
10520,2
65535,1
1040,2
14704,2
51040,1
19290,2
5863,1
1126,2
45122,5
5810,1
6424,1
17494,2
25771,1
57139,2
34090,1
25287,1
24680,2
33355,2
33547,2
22918,1
4771,2
52887,4
65530,1
4311,2
64530,1
59192,5
12193,2
29389,1
61898,3
58296,4
53877,1
38229,1
10414,2
61009,1
64766,1
45391,1
1066,2
31840,3
62508,1
10659,1
45417,1
57358,2
12492,1
20999,1
11867,2
39340,2
24048,2
32679,2
46650,3
55206,2
30658,3
7175,2
46330,1
5717,1
61579,1
34897,2
11913,6
59269,2
54786,2
6816,2
7706,2
33246,1
31823,1
33314,2
2791,1
40959,1
38320,4
43135,2
12304,1
56080,1
63955,3
35518,3
3872,1
46016,1
42152,3
61560,1
17581,1
64001,2
10561,1
6928,1
55964,3
44977,2
28283,2
22657,3
29568,1
13892,3
40644,2
57782,2
19995,2
23555,3
9037,1
25314,5
48048,3
52733,2
12208,3
12137,3
52881,4
42084,2
37406,1
7065,2
16549,2
88,1
45121,2
33982,4
7682,3
26697,1
1065,4
33062,1
864,1
12846,2
44142,2
61635,2
23614,1
16631,1
41688,2
12911,2
2444,1
33412,2
38702,6
50475,1
37023,5
57282,4
10832,2
54736,3
21207,5
16904,2
64127,8
63573,2
40888,3
54119,2
1082,4
36076,2
52270,3
17684,3
27207,3
12658,2
49705,1
8335,4
42859,1
5655,4
8901,1
22538,4
5189,2
10859,3
64525,3
13096,1
59391,2
32996,3
62498,3
41860,3
7010,1
24715,2
46020,3
4864,3
37296,1
28377,1
28771,1
57684,1
20169,4
9946,3
61493,4
23280,2
56067,2
30248,2
58141,2
17846,1
22920,3
28160,5
59660,4
30238,2
6284,1
52937,3
37327,1
15460,4
2902,2
94,3
33777,4
55521,1
2639,3
12625,3
23717,2
22328,4
56079,3
7590,5
57943,3
53431,3
51209,2
29998,5
9035,3
2608,2
23476,2
58759,2
3952,1
36876,2
42639,2
37686,1
62810,3
2026,1
59550,2
2198,3
59042,1
33511,4
50193,3
63409,2
44325,2
35773,1
41024,4
47811,2
65067,3
18704,3
62730,1
29120,2
29603,6
15285,5
11310,3
6622,3
49163,1
17453,1
484,4
44721,4
57933,3
24546,3
14996,2
33515,2
15898,2
3379,3
5143,2
13630,5
33409,1
41133,3
19421,3
32828,1
47661,4
7896,2
56163,1
19360,3
8761,4
59038,1
21264,2
55829,2
36542,2
65003,5
317,2
51450,3
36979,3
9477,1
6902,2
10126,2
14060,2
54689,2
62035,4
17172,3
64011,1
60581,3
25095,2
15332,2
35603,3
30889,5
29536,3
52224,2
65123,3
59345,2
49681,3
27043,8
29216,5
5063,4
27122,2
8080,4
5571,2
50388,2
16583,1
34835,4
14565,2
51993,5
36139,3
42918,4
4205,2
3934,2
22243,4
13474,2
59190,2
51019,3
32884,1
9397,2
58036,1
8391,5
41,1
11476,2
29984,2
33128,2
29336,1
54783,4
10690,5
7109,4
47186,1
17840,3
7623,4
29376,3
61568,2
45604,2
54929,5
2793,4
12283,1
24571,2
38781,2
39981,3
930,2
37245,5
50602,3
11857,4
1573,5
44052,1
50261,3
9890,5
53770,3
22112,2
42887,3
3954,3
32745,1
1957,4
2698,3
22693,3
52432,3
11340,3
34181,5
25292,4
18851,3
9093,4
56798,2
51061,4
10636,3
39128,2
2575,3
49878,3
858,2
19017,6
40618,3
13506,5
51163,4
23317,3
6231,2
17058,4
5106,2
44523,3
48404,1
20601,3
11024,1
17534,1
11559,5
58882,2
13734,2
10265,2
9739,6
45304,3
2584,1
53937,3
1175,4
20201,5
25383,4
10048,3
59975,1
24695,1
29752,2
29537,1
2177,4
59001,2
56032,4
62678,1
32912,4
8476,3
4412,4
13823,3
60052,4
8285,3
35161,6
15008,2
27357,7
22809,5
47636,3
56693,4
57126,4
15672,2
49632,3
24275,1
61539,2
34137,4
42249,4
38064,2
65445,4
13459,2
23516,3
1232,2
64075,3
48044,3
16501,2
28271,2
18523,2
41078,2
25150,4
19835,3
43022,2
25640,2
49701,4
60682,3
44569,3
57784,4
31376,2
36391,3
16492,4
61193,3
16644,2
26600,1
38974,1
34270,2
40372,4
26046,4
22824,4
26569,3
46365,2
17141,3
40192,4
49768,4
27521,3
21891,5
45804,4
27778,4
33949,1
63490,2
502,1
8624,3
53772,3
30723,3
21385,2
15725,1
37379,4
62740,7
32514,2
4689,2
49148,3
14382,4
30835,3
13952,1
13272,4
50371,3
21981,5
20785,2
32444,4
16505,3
32276,4
32798,5
24596,2
29862,3
19922,3
12748,3
33962,4
180,1
14511,1
46084,1
4388,4
47306,4
1216,3
33565,1
4177,2
4543,4
