bit,quantidade
65367,1
54052,1
29693,1
61110,1
8499,1
53285,1
47431,1
56312,1
154,1
17020,1
43580,1
45005,1
42178,1
10136,1
5926,1
60024,1
7314,1
41481,1
1346,1
9774,1
11351,1
15031,1
10637,1
20631,1
3708,1
35776,1
33574,1
62278,1
25090,1
9656,1
11036,1
1306,1
63000,1
32594,1
2110,1
25752,1
22392,1
44484,1
64540,1
61118,1
3414,1
4615,1
7192,1
6248,1
5864,1
52633,1
58112,1
26728,1
31320,1
37339,1
5607,1
9938,1
38981,1
18935,1
21389,1
65096,1
18133,1
23470,1
11679,1
4270,1
40461,1
63310,1
48126,1
15655,1
13921,1
55598,1
25275,1
30247,1
30882,1
22183,1
54136,1
31780,1
60718,1
37795,1
11225,1
8249,1
55001,1
7886,1
37860,1
8317,1
22781,1
59140,1
55621,1
48480,1
49317,1
8043,1
54973,1
22067,1
22904,1
48567,1
9999,1
27436,1
49668,1
45307,1
24359,1
32785,1
38928,1
34049,1
59241,1
34360,1
52419,1
32171,1
16754,1
35044,1
35346,1
37250,1
45825,1
43201,1
27123,1
52214,1
35239,1
26817,1
50603,1
879,1
1031,1
11901,1
9496,1
18044,1
57921,1
21002,1
22821,1
3097,1
51846,1
12596,1
17520,1
20705,1
61961,1
49893,1
2129,1
50004,1
65048,1
45525,1
1025,1
62008,1
382,1
1878,1
6326,1
7107,1
39816,1
41617,1
48437,1
8307,1
16531,1
23312,1
132,1
26768,1
28066,1
5814,1
1775,1
35331,1
10708,1
33653,1
5852,1
51209,2
484,1
41483,1
18559,1
45476,1
50596,1
392,1
33856,1
54796,2
64013,1
44689,1
59309,1
12794,1
13478,1
64911,1
57231,1
44373,1
63090,1
38589,1
58798,1
23682,1
24413,1
2903,1
60711,1
44840,1
54317,1
48519,1
60446,1
10619,1
2025,1
55973,1
12345,1
2841,1
27206,1
22565,1
11701,1
30360,1
64837,1
14988,1
16154,1
34353,1
58512,1
60837,1
62917,1
35494,1
51143,1
60728,1
17455,1
62439,1
9242,1
45430,1
33192,1
32441,1
55078,1
60355,1
54127,1
60002,1
24946,1
51280,1
47603,1
6595,1
31100,1
43962,1
20913,1
18141,1
39890,1
59913,1
27865,1
45314,1
6973,1
56332,1
58472,1
52758,1
35159,1
27863,1
11833,1
20531,1
59658,1
64354,1
27787,1
30560,2
51407,1
30322,1
23083,1
47071,1
65465,1
3664,1
7918,1
46966,1
14372,1
17879,1
12155,1
23573,1
26688,1
47619,1
61874,1
27802,1
29652,1
4021,1
12734,1
5500,1
34524,1
33063,1
38249,1
55208,1
5666,1
53123,1
14057,1
22717,1
37219,1
45109,1
11885,1
59669,1
58792,1
3561,1
6890,1
44924,1
11488,1
40240,1
64496,1
4719,1
29853,1
52656,1
7204,1
42095,1
36285,1
10041,1
47137,1
55872,1
20395,1
33272,1
27483,1
65355,1
8625,1
62391,1
24328,1
41633,1
1407,1
32894,1
61348,1
43050,1
52014,1
10968,1
45903,1
33059,1
17971,1
9464,1
35021,1
36641,1
31669,1
8266,1
18181,1
62727,1
34340,1
23111,1
41901,1
8312,1
65012,1
55059,1
61081,1
44922,1
14690,1
64826,1
59770,1
15030,1
29937,1
37478,1
44148,1
20585,1
10864,1
19645,1
28122,1
21269,1
58980,1
45076,1
41340,1
1134,1
55020,1
62688,1
62611,1
43093,1
14819,1
62890,1
22574,1
55298,1
15692,1
62553,1
20922,1
35788,1
12778,1
2142,1
47915,1
39264,1
43568,1
52562,1
38607,1
26150,1
39480,1
22321,1
41787,1
8632,1
7644,1
40775,1
23454,1
35053,1
1807,1
17198,1
45308,1
24967,1
54112,1
25747,1
37539,1
8877,1
55505,1
29764,1
45228,1
34849,1
59696,1
10807,1
51441,1
7959,1
7885,1
52947,3
12003,1
49231,1
9743,1
44324,1
64880,1
57263,2
44058,1
24579,1
58872,1
18166,1
18338,1
35503,1
22787,1
11517,1
61789,1
55488,1
20092,1
42696,1
61734,1
24308,1
18085,1
64239,1
14281,1
29726,1
11462,1
36041,1
47762,1
63039,1
2627,1
43988,1
4799,1
61702,1
57122,1
39786,1
2197,1
15467,1
51290,1
7763,1
30702,1
35493,1
48050,1
64986,1
38901,2
45710,1
29300,1
47984,1
62061,1
5508,1
34531,1
42887,1
27419,2
51941,1
1707,1
18916,1
60302,1
35985,1
18411,1
40584,1
63097,1
29302,1
36926,1
49352,1
51795,1
36165,1
40313,1
49235,1
21272,1
7569,1
45622,1
17168,1
34820,1
5614,2
26773,1
14154,1
1968,1
65152,1
43172,1
1943,1
1865,1
19061,2
39225,1
26574,1
10996,1
55270,1
31214,1
14164,1
1355,1
41127,1
42508,1
63902,1
47088,1
50261,1
40985,1
18883,1
62531,1
53187,1
12213,1
