Valor Binario,Quantidade
63317,1
1541,1
13318,1
41802,1
46743,1
467,3
53354,3
41810,1
24,1
10,1
27757,1
29800,1
11877,1
29801,1
29440,1
9216,1
247,1
11907,1
2048,2
5120,1
16130,1
331,1
20494,1
37696,1
49096,1
65312,1
19487,1
64369,1
56411,1
24133,1
8405,1
54302,1
11678,1
37732,1
45856,1
59623,1
62166,1
54475,1
60921,1
6700,1
15324,1
53095,1
26535,1
54266,1
7300,1
64122,1
29501,1
61719,1
33020,1
46495,1
20147,1
48181,1
62934,1
29942,1
39179,1
6604,1
57334,1
41466,1
15494,1
61910,1
19997,1
40554,1
58791,1
59882,1
61176,1
32687,1
49999,1
41058,1
45302,1
9607,1
32633,1
32310,1
50255,1
61101,1
17838,1
53216,1
40389,1
24475,1
28043,1
63148,1
1039,1
32201,1
61921,1
64757,1
5731,1
31024,1
58626,1
20506,1
5049,1
53938,1
1976,1
62467,1
46553,1
24972,1
45426,1
8535,1
62582,1
47289,1
65146,1
24013,1
61637,1
28325,1
56730,1
29370,1
55391,1
36711,1
64798,1
24242,1
11633,1
26959,1
32533,1
59436,1
15536,1
55364,1
53228,1
13564,1
63108,1
39039,1
32535,1
52214,1
50894,1
21875,1
32639,1
10226,1
26464,1
51556,1
4082,1
64682,1
39593,1
20156,1
18423,1
65363,1
65115,1
17388,1
6968,1
3465,1
18731,1
38562,1
54267,1
16053,1
46469,1
33701,1
8540,1
43691,1
63287,1
19542,1
38270,1
37612,1
21163,1
54730,1
44893,1
10163,1
28031,1
18803,1
61668,1
14940,1
2950,1
17486,1
20430,1
60952,1
57445,1
10367,1
17397,1
53476,1
9735,1
46346,1
16330,1
12708,1
20199,1
58245,1
11315,1
32323,1
49691,1
14403,1
35525,1
28864,1
26135,1
48725,1
36368,1
24881,1
4242,1
823,1
8289,1
27030,1
8338,1
49818,1
58078,1
13590,1
33209,1
32761,1
29023,1
16562,1
36324,1
40064,1
61174,1
28007,1
15765,1
53285,1
59566,1
62114,1
24993,1
62659,1
30593,1
41652,1
36758,1
61234,1
52714,1
6897,1
24551,1
31356,1
37739,1
34074,1
34894,1
8649,1
10639,1
58713,1
1209,1
51978,1
11290,1
25431,1
29094,1
2638,1
47425,1
58294,1
46478,1
24401,1
13357,1
21909,1
59911,1
55778,1
62269,1
26682,1
6845,1
38057,1
49749,1
64496,1
63612,1
28949,1
22014,1
35594,1
47542,1
42919,1
26448,1
21825,1
50783,1
37730,1
63120,1
6851,1
42655,1
8159,1
36775,1
57449,1
8895,1
37351,1
20473,1
14959,1
28287,1
64604,1
15616,1
50057,1
13212,1
18251,1
32132,1
62055,1
23726,1
47035,1
21194,1
5850,1
18150,1
37573,1
27367,1
49894,1
28438,1
53264,1
56030,1
41589,1
58795,1
59833,1
46377,1
43581,1
12810,1
23672,1
58854,1
64675,1
32351,1
14227,1
50367,1
12637,1
63310,1
39706,1
40907,1
28726,1
9419,1
57539,1
7785,1
53830,1
57124,1
49068,1
22051,1
32318,1
3314,1
3284,1
3021,1
55737,1
7101,1
64461,1
1717,1
9435,1
27521,1
52259,1
55943,1
61690,1
19298,1
56444,1
11733,1
49771,1
30698,1
15971,1
11599,1
36599,2
50476,1
20082,1
39877,1
49892,1
4175,1
22700,1
27748,1
2301,1
36409,1
17671,1
21564,1
19816,1
50295,1
42373,1
50659,1
38221,1
52544,1
60192,1
478,1
38829,1
28839,1
1764,1
3866,1
50238,1
37005,1
10468,1
46080,1
44536,1
49245,1
32339,1
33273,1
39403,1
41250,1
56695,1
40003,1
62442,1
28709,1
4037,1
39944,1
27857,1
65249,1
39314,1
24611,1
8374,1
13508,1
29178,1
8126,1
9400,1
58836,1
63508,1
3850,1
14389,1
12689,1
58610,1
19078,1
53847,1
9339,1
34009,1
6320,1
9902,1
51484,1
52747,1
48201,1
37208,1
26693,1
42371,1
58740,1
41492,1
58903,1
33994,1
40203,1
39089,1
51057,1
6724,1
55611,1
49523,1
14132,1
39269,1
24628,1
61978,1
33297,1
47136,1
49028,1
14120,1
45383,1
7975,2
55432,1
40505,1
53192,1
12579,1
40597,1
20725,1
32807,1
2660,1
55450,1
48931,1
63575,1
22679,1
51509,1
14699,1
31664,1
63795,1
46226,1
18217,1
3353,1
50696,1
23349,2
59522,1
20337,1
44880,1
13352,1
44622,1
30565,1
61896,1
20507,1
60302,1
28399,2
28558,1
42382,1
54938,1
6079,1
56652,1
29764,1
49488,1
39892,1
11833,1
4478,1
31902,1
56909,1
56955,1
16799,1
45529,1
40667,1
2002,1
16909,1
64189,1
3713,1
13325,1
31419,1
63753,1
64686,1
29433,1
56502,1
35097,1
14362,1
49320,1
9059,1
22440,1
14565,1
52779,1
38716,1
62914,1
21497,1
29365,1
62893,1
1980,1
6237,1
63241,1
38914,1
45467,1
14966,1
38276,1
7481,1
55012,1
33808,1
54747,1
38482,1
47991,1
26898,1
3387,1
30912,1
19314,1
43461,1
29315,1
31387,2
42480,1
46893,1
19863,1
64431,1
25635,1
46942,1
21998,1
43685,1
57171,1
33068,1
58986,1
18921,1
27624,1
55119,1
63905,1
15587,1
976,1
64939,1
9348,1
62798,1
29882,1
59613,2
47780,1
17924,1
5463,1
18442,1
4087,1
59321,1
25311,1
9271,1
4140,1
8221,1
58904,1
52664,1
52444,2
30883,1
39735,1
19091,1
39517,1
4662,1
31210,1
64906,1
463,1
34529,1
58265,1
709,1
13545,1
18724,1
62177,1
5516,1
63728,1
40978,1
64157,1
56308,1
55440,1
24681,1
57603,1
24699,1
38348,1
15740,1
42381,1
62143,1
7354,1
300,1
4316,1
2948,1
16166,1
53195,1
33919,1
63459,1
30084,1
6546,1
62061,1
44996,1
64141,1
27369,1
52403,1
39358,1
54173,1
26017,1
24499,1
39969,1
19919,1
22617,1
15292,1
15842,1
60484,1
64547,1
48375,1
14417,1
8309,1
8444,1
43922,1
41026,1
23318,1
45208,1
37431,1
41486,2
27801,2
37118,1
41578,1
41134,1
30007,1
38380,1
19729,1
18209,2
48455,1
63719,1
60931,1
24293,1
43637,1
17335,1
62081,1
41680,1
23856,1
51212,1
63136,1
10031,1
20175,1
60422,1
1059,1
48457,1
18872,1
61137,1
12655,1
63448,1
45482,1
52872,1
3622,1
32277,1
62130,1
9030,1
54810,1
5937,1
14273,1
39410,1
58857,1
28307,1
12358,1
61023,1
24875,1
28068,1
12227,1
64742,1
50018,1
53290,1
49408,2
40655,1
51519,1
39142,1
25468,1
38281,1
47307,1
2304,2
52788,1
18438,1
59342,2
53667,1
29963,1
19068,1
28715,1
39200,1
33900,1
13343,1
19563,1
5010,1
26425,1
45293,1
61941,1
64958,1
23187,1
63271,1
14039,1
61006,2
38633,1
271,1
59913,1
18383,1
16678,1
6927,1
61014,1
36335,1
23150,1
603,1
5361,1
5166,1
19448,1
50435,1
59510,1
37974,1
43414,1
32120,1
38017,1
29621,1
55904,1
54565,1
41803,1
25694,1
19670,1
65202,1
65402,1
6952,1
38985,2
28857,1
35700,1
40749,1
38453,1
55918,1
15854,1
15692,1
35351,1
39518,1
780,1
34549,1
19599,1
58946,1
60636,1
56576,1
32126,1
24726,1
55641,1
2171,1
47227,1
60756,1
8868,1
50958,1
39841,1
51058,1
26087,1
52645,1
51003,1
9798,1
12422,1
